"","GO0030990_intraciliary_transport_particle"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.280089026926427
"Q5VUJ6_IDR_1_54",0.427410361243471
"Q5VUJ6_IDR_308_649",0.572589638756529
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.528555480042216
"Q5VV16_IDR_235_409",0.471444519957784
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.497706147963877
"Q5VV42_IDR_499_545",0.502293852036123
"Q5VWN6_IDR_1918_1981",0.166766914619227
"Q5VWN6_IDR_1993_2150",0.163339154586242
"Q5VWN6_IDR_803_1879",0.176434691817283
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.307380327972693
"Q5VWQ0_IDR_63_351",0.365656667317507
"Q5VWQ0_IDR_708_802",0.3269630047098
"Q5VWQ8_IDR_1141_1189",0.346612127236284
"Q5VWQ8_IDR_1_142",0.324994556200172
"Q5VWQ8_IDR_654_1098",0.328393316563544
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.19048217422338
"Q5VZL5_IDR_1_334",0.216307275465455
"Q5VZL5_IDR_640_677",0.188940640285605
"Q5VZL5_IDR_851_997",0.19626188521512
"Q5VZL5_IDR_999_1200",0.20800802481044
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.165458969554415
"Q5VZP5_IDR_45_103",0.148002158118662
"Q5XX13_IDR_168_231",0.488714877133114
"Q5XX13_IDR_693_978",0.511285122866886
"Q5XXA6_IDR_1_48",0.342228221266949
"Q5XXA6_IDR_74_121",0.339516718330806
"Q5XXA6_IDR_945_986",0.318255060402245
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.510158790722802
"Q63HK3_IDR_383_743",0.489841209277198
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.324044918559195
"Q66K14_IDR_944_993",0.353069018152351
"Q66K41_IDR_1_291",0.482847203774512
"Q66K41_IDR_304_345",0.517152796225488
"Q66K64_IDR_1_37",0.520318834966367
"Q66K64_IDR_275_383",0.479681165033633
"Q66K66_IDR_241_349",0.520055006951195
"Q66K66_IDR_32_81",0.479944993048805
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.234827411016093
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.482695283449776
"Q8IU57_IDR_479_520",0.517304716550224
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.493149930738482
"Q8IU81_IDR_56_237",0.506850069261518
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.486372874873186
"Q8IUC6_IDR_634_673",0.513627125126814
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.230626229971874
"Q8IUD2_IDR_621_730",0.266491977478356
"Q8IUD2_IDR_764_839",0.25666849247736
"Q8IUD2_IDR_926_1072",0.24621330007241
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.498030861436643
"Q8IUE0_IDR_1_55",0.501969138563357
"Q8IUE1_IDR_116_241",0.49699740051484
"Q8IUE1_IDR_1_55",0.503002599485159
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.319294036078876
"Q8IUG5_IDR_1_504",0.341796978041857
"Q8IUW5_IDR_126_223",0.228213052808418
"Q8IUW5_IDR_1_54",0.232381052631294
"Q8IUW5_IDR_234_271",0.269602049388276
"Q8IUW5_IDR_91_123",0.269803845172012
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.266634618096398
"Q8IUX7_IDR_1099_1138",0.302781576515288
"Q8IUX7_IDR_44_388",0.430583805388314
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.493260658632163
"Q8IUY3_IDR_182_321",0.506739341367837
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.494033804423309
"Q8IV04_IDR_352_446",0.505966195576691
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.472904712798983
"Q8IV31_IDR_62_184",0.527095287201017
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.228891745719101
"Q8IVE3_IDR_1453_1493",0.244961309686056
"Q8IVE3_IDR_36_69",0.259947025704916
"Q8IVE3_IDR_71_132",0.266199918889927
"Q8IVF1_IDR_14_81",0.197281185020821
"Q8IVF1_IDR_232_366",0.184366381928461
"Q8IVF1_IDR_407_522",0.221951988751821
"Q8IVF1_IDR_525_878",0.201476996783701
"Q8IVF1_IDR_83_205",0.194923447515196
"Q8IVF2_IDR_1_114",0.235126191143707
"Q8IVF2_IDR_1794_5795",0.391363092408985
"Q8IVF2_IDR_195_1792",0.373510716447309
"Q8IVF4_IDR_156_187",0.478989260063205
"Q8IVF4_IDR_1_66",0.521010739936795
"Q8IVF5_IDR_1017_1093",0.2593404298373
"Q8IVF5_IDR_1461_1667",0.252499933811182
"Q8IVF5_IDR_1_498",0.237710750673654
"Q8IVF5_IDR_749_804",0.250448885677864
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.363105444600706
"Q8IVW6_IDR_319_491",0.337065315219644
"Q8IVW6_IDR_516_561",0.299829240179649
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.33990929363441
"Q8IW35_IDR_575_628",0.344574200060233
"Q8IW35_IDR_633_854",0.315516506305357
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.48086535301692
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.465605629904463
"Q8IWE2_IDR_404_437",0.534394370095537
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.518049226437519
"Q8IWF9_IDR_234_348",0.481950773562481
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.1092873026108
"Q8IWI9_IDR_1340_1371",0.101259467537673
"Q8IWI9_IDR_1398_1903",0.0946567139618284
"Q8IWI9_IDR_1905_2856",0.178316428759223
"Q8IWI9_IDR_261_649",0.109773159263662
"Q8IWI9_IDR_2974_3016",0.100356672400545
"Q8IWI9_IDR_3020_3065",0.10496327555153
"Q8IWI9_IDR_681_751",0.106046035190613
"Q8IWI9_IDR_753_1079",0.0953409447241256
"Q8IWJ2_IDR_1_69",0.305091355485165
"Q8IWT3_IDR_1658_1690",0.25218221030878
"Q8IWT3_IDR_2437_2517",0.262317211591153
"Q8IWT6_IDR_180_231",0.510987376754915
"Q8IWT6_IDR_62_95",0.489012623245085
"Q8IWU2_IDR_1_101",0.242018133412556
"Q8IWU2_IDR_1377_1415",0.240943385943364
"Q8IWU2_IDR_1426_1459",0.245249340927448
"Q8IWU2_IDR_557_1314",0.271789139716632
"Q8IWU5_IDR_1_40",0.247989529371963
"Q8IWU5_IDR_557_594",0.25706517478292
"Q8IWU5_IDR_648_718",0.250545861410891
"Q8IWU5_IDR_824_860",0.244399434434226
"Q8IWU6_IDR_1_37",0.238816313155547
"Q8IWU6_IDR_510_543",0.246795485752107
"Q8IWU6_IDR_561_610",0.2581461394349
"Q8IWU6_IDR_666_738",0.256242061657446
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.304074225342387
"Q8IWV1_IDR_178_270",0.335174293790804
"Q8IWV1_IDR_295_398",0.360751480866809
"Q8IX03_IDR_790_917",0.277957007333383
"Q8IX03_IDR_945_991",0.243053589633363
"Q8IX07_IDR_1_83",0.36964213339248
"Q8IX07_IDR_194_247",0.339358858773738
"Q8IX07_IDR_266_972",0.290999007833781
"Q8IX12_IDR_212_357",0.174565716913472
"Q8IX12_IDR_599_722",0.209732867988776
"Q8IX12_IDR_793_917",0.265645094931843
"Q8IX12_IDR_9_144",0.168308041815177
"Q8IX12_IDR_981_1021",0.181748278350732
"Q8IX15_IDR_125_364",0.247745208017917
"Q8IX15_IDR_1_38",0.254187060207063
"Q8IX15_IDR_420_461",0.23771655705207
"Q8IX15_IDR_504_550",0.26035117472295
"Q8IX18_IDR_1_50",0.436365705457204
"Q8IX18_IDR_706_779",0.563634294542796
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.496222463486776
"Q8IX29_IDR_239_292",0.503777536513224
"Q8IXP5_IDR_108_216",0.501973430216976
"Q8IXP5_IDR_1_106",0.498026569783024
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.521966607346138
"Q8IXQ8_IDR_211_264",0.478033392653862
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.332818584341769
"Q8IXT5_IDR_485_921",0.326733752486576
"Q8IXT5_IDR_89_151",0.340447663171654
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.333434084526161
"Q8IXW0_IDR_176_344",0.339896431878929
"Q8IXW0_IDR_466_587",0.32666948359491
"Q8IXW5_IDR_1_41",0.511673071260584
"Q8IXW5_IDR_171_324",0.488326928739416
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.463433029071122
"Q8IY63_IDR_493_952",0.536566970928879
"Q8IY67_IDR_1_35",0.542651894414946
"Q8IY67_IDR_349_606",0.457348105585054
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.499393312716279
"Q8IY84_IDR_7_44",0.500606687283721
"Q8IY85_IDR_375_441",0.50052061935138
"Q8IY85_IDR_77_146",0.49947938064862
"Q8IY92_IDR_1_50",0.166624170615289
"Q8IY92_IDR_377_470",0.176924163128258
"Q8IY92_IDR_558_613",0.16434016698562
"Q8IY92_IDR_630_669",0.15528254081984
"Q8IY92_IDR_64_289",0.176921270178947
"Q8IY92_IDR_824_1750",0.159907688272046
"Q8IYE1_IDR_684_715",0.363741619720621
"Q8IYF1_IDR_647_753",0.428842866781542
"Q8IYF1_IDR_79_458",0.571157133218458
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.328683678073704
"Q8IYH5_IDR_573_649",0.326309227699753
"Q8IYH5_IDR_714_786",0.345007094226543
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.47086532449708
"Q8IYI6_IDR_287_328",0.52913467550292
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.238886950824208
"Q8IYJ0_IDR_112_175",0.252900106859451
"Q8IYJ0_IDR_204_238",0.257604687585228
"Q8IYJ0_IDR_240_282",0.250608254731114
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.480986745561529
"Q8IYK4_IDR_584_626",0.519013254438471
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.159044127256577
"Q8IYW2_IDR_1347_1410",0.192888565673869
"Q8IYW2_IDR_1985_2022",0.166157405831085
"Q8IYW2_IDR_2287_2320",0.165049664980949
"Q8IYW2_IDR_2540_2579",0.157008317849153
"Q8IYW2_IDR_2630_2661",0.159851918408367
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.474357720901342
"Q8IZ41_IDR_77_124",0.525642279098659
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.322163549683448
"Q8IZ63_IDR_360_422",0.358777636954711
"Q8IZ63_IDR_87_332",0.319058813361841
"Q8IZ69_IDR_1_56",0.508227841208946
"Q8IZ69_IDR_591_625",0.491772158791054
"Q8IZ73_IDR_31_122",0.505186342909261
"Q8IZ73_IDR_421_495",0.494813657090739
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.31952537600432
"Q8IZA0_IDR_201_244",0.34376962347547
"Q8IZA0_IDR_957_1015",0.336705000520209
"Q8IZA3_IDR_114_346",0.539289612805584
"Q8IZA3_IDR_1_50",0.460710387194416
"Q8IZC4_IDR_185_221",0.328266735303672
"Q8IZC4_IDR_409_445",0.328147195965462
"Q8IZC4_IDR_476_603",0.343586068730866
"Q8IZC6_IDR_1_36",0.480239163484301
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.503480758859744
"Q8IZJ3_IDR_1758_1835",0.496519241140256
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.496875389766825
"Q8IZL8_IDR_637_1130",0.503124610233175
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.526487431356558
"Q8IZN3_IDR_323_488",0.473512568643443
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.500495575623197
"Q8IZP6_IDR_97_147",0.499504424376803
"Q8IZP7_IDR_1_118",0.476568223640213
"Q8IZP7_IDR_426_459",0.523431776359787
"Q8IZP9_IDR_249_371",0.241571797254691
"Q8IZP9_IDR_39_74",0.243957132257285
"Q8IZU9_IDR_701_778",0.478247499297971
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.165674397835806
"Q8IZX4_IDR_1220_1400",0.157841743364481
"Q8IZX4_IDR_1644_1826",0.176113241060649
"Q8IZX4_IDR_268_354",0.163290236675991
"Q8IZX4_IDR_536_578",0.155814933095495
"Q8IZX4_IDR_82_235",0.181265447967578
"Q8IZY2_IDR_1152_1210",0.503225205359571
"Q8IZY2_IDR_2105_2146",0.496774794640429
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.489277863540371
"Q8N0S2_IDR_260_351",0.510722136459629
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.243967572718979
"Q8N0U7_IDR_267_299",0.239956709363663
"Q8N0U7_IDR_37_122",0.259755676898939
"Q8N0U7_IDR_391_467",0.25632004101842
"Q8N103_IDR_1_81",0.509581432221125
"Q8N103_IDR_283_731",0.490418567778875
"Q8N108_IDR_1_176",0.534710749362177
"Q8N108_IDR_344_512",0.465289250637823
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.482778380498143
"Q8N114_IDR_203_240",0.517221619501857
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.511287605045518
"Q8N122_IDR_820_949",0.488712394954482
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.477438042795862
"Q8N128_IDR_68_213",0.522561957204138
"Q8N129_IDR_1_32",0.443793211428717
"Q8N129_IDR_202_248",0.556206788571283
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.336243031756982
