"","GO0005813_centrosome"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.269104113336852
"Q5VUJ6_IDR_1_54",0.407257888631959
"Q5VUJ6_IDR_308_649",0.592742111368041
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.481946506169951
"Q5VV16_IDR_235_409",0.518053493830049
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.484679174373531
"Q5VV42_IDR_499_545",0.515320825626469
"Q5VWN6_IDR_1918_1981",0.162083014675686
"Q5VWN6_IDR_1993_2150",0.172473718862614
"Q5VWN6_IDR_803_1879",0.199314896505684
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.269895960616661
"Q5VWQ0_IDR_63_351",0.442926179491596
"Q5VWQ0_IDR_708_802",0.287177859891743
"Q5VWQ8_IDR_1141_1189",0.336159487276955
"Q5VWQ8_IDR_1_142",0.331979798263704
"Q5VWQ8_IDR_654_1098",0.33186071445934
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.198443143286536
"Q5VZL5_IDR_1_334",0.212991558501514
"Q5VZL5_IDR_640_677",0.194115987176027
"Q5VZL5_IDR_851_997",0.195021192277357
"Q5VZL5_IDR_999_1200",0.199428118758565
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.166512700151059
"Q5VZP5_IDR_45_103",0.168446646629377
"Q5XX13_IDR_168_231",0.434377197621212
"Q5XX13_IDR_693_978",0.565622802378788
"Q5XXA6_IDR_1_48",0.344476864525619
"Q5XXA6_IDR_74_121",0.326298827390448
"Q5XXA6_IDR_945_986",0.329224308083932
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.496108623157638
"Q63HK3_IDR_383_743",0.503891376842362
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.322617432180546
"Q66K14_IDR_944_993",0.332967840891075
"Q66K41_IDR_1_291",0.501603220106759
"Q66K41_IDR_304_345",0.498396779893241
"Q66K64_IDR_1_37",0.51866898184674
"Q66K64_IDR_275_383",0.48133101815326
"Q66K66_IDR_241_349",0.528695245869233
"Q66K66_IDR_32_81",0.471304754130767
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.237113259756862
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.508865692009921
"Q8IU57_IDR_479_520",0.491134307990079
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.503871972418176
"Q8IU81_IDR_56_237",0.496128027581824
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.494956353878373
"Q8IUC6_IDR_634_673",0.505043646121627
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.222802504650457
"Q8IUD2_IDR_621_730",0.296257864120451
"Q8IUD2_IDR_764_839",0.231950035612581
"Q8IUD2_IDR_926_1072",0.248989595616511
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.501403863722632
"Q8IUE0_IDR_1_55",0.498596136277368
"Q8IUE1_IDR_116_241",0.509144710542284
"Q8IUE1_IDR_1_55",0.490855289457716
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.304942566366667
"Q8IUG5_IDR_1_504",0.268552630607375
"Q8IUW5_IDR_126_223",0.246081697966382
"Q8IUW5_IDR_1_54",0.243062966996162
"Q8IUW5_IDR_234_271",0.260995333960679
"Q8IUW5_IDR_91_123",0.249860001076778
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.340282941527025
"Q8IUX7_IDR_1099_1138",0.34889872085169
"Q8IUX7_IDR_44_388",0.310818337621285
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.481963135817754
"Q8IUY3_IDR_182_321",0.518036864182246
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.48761034151473
"Q8IV04_IDR_352_446",0.51238965848527
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.507264219231182
"Q8IV31_IDR_62_184",0.492735780768818
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.241029448364148
"Q8IVE3_IDR_1453_1493",0.245313381362979
"Q8IVE3_IDR_36_69",0.250156651777568
"Q8IVE3_IDR_71_132",0.263500518495304
"Q8IVF1_IDR_14_81",0.197424247435864
"Q8IVF1_IDR_232_366",0.186432525846252
"Q8IVF1_IDR_407_522",0.206613581110085
"Q8IVF1_IDR_525_878",0.218279588129355
"Q8IVF1_IDR_83_205",0.191250057478445
"Q8IVF2_IDR_1_114",0.302278848592037
"Q8IVF2_IDR_1794_5795",0.344626906555616
"Q8IVF2_IDR_195_1792",0.353094244852347
"Q8IVF4_IDR_156_187",0.495848419602907
"Q8IVF4_IDR_1_66",0.504151580397093
"Q8IVF5_IDR_1017_1093",0.243332141778031
"Q8IVF5_IDR_1461_1667",0.259636864249427
"Q8IVF5_IDR_1_498",0.251509578711648
"Q8IVF5_IDR_749_804",0.245521415260893
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.319432894925937
"Q8IVW6_IDR_319_491",0.380954008748389
"Q8IVW6_IDR_516_561",0.299613096325673
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.368576308499761
"Q8IW35_IDR_575_628",0.314415056246816
"Q8IW35_IDR_633_854",0.317008635253423
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.487204621434834
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.500712602404952
"Q8IWE2_IDR_404_437",0.499287397595048
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.474176123797997
"Q8IWF9_IDR_234_348",0.525823876202003
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.100214021680984
"Q8IWI9_IDR_1340_1371",0.102547356219482
"Q8IWI9_IDR_1398_1903",0.102947952669329
"Q8IWI9_IDR_1905_2856",0.16677687327638
"Q8IWI9_IDR_261_649",0.101456798308774
"Q8IWI9_IDR_2974_3016",0.0958087336813721
"Q8IWI9_IDR_3020_3065",0.102652918530079
"Q8IWI9_IDR_681_751",0.125058553186259
"Q8IWI9_IDR_753_1079",0.102536792447342
"Q8IWJ2_IDR_1_69",0.29160343675141
"Q8IWT3_IDR_1658_1690",0.264680674339178
"Q8IWT3_IDR_2437_2517",0.247328645813667
"Q8IWT6_IDR_180_231",0.49346330685236
"Q8IWT6_IDR_62_95",0.50653669314764
"Q8IWU2_IDR_1_101",0.236212955837323
"Q8IWU2_IDR_1377_1415",0.209774306455932
"Q8IWU2_IDR_1426_1459",0.218877167334557
"Q8IWU2_IDR_557_1314",0.335135570372188
"Q8IWU5_IDR_1_40",0.293409157594446
"Q8IWU5_IDR_557_594",0.223085771880259
"Q8IWU5_IDR_648_718",0.247359424667448
"Q8IWU5_IDR_824_860",0.236145645857848
"Q8IWU6_IDR_1_37",0.263017857734713
"Q8IWU6_IDR_510_543",0.238819529977091
"Q8IWU6_IDR_561_610",0.231537316524567
"Q8IWU6_IDR_666_738",0.266625295763629
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.331642321095205
"Q8IWV1_IDR_178_270",0.330835679857773
"Q8IWV1_IDR_295_398",0.337521999047022
"Q8IX03_IDR_790_917",0.245793458962131
"Q8IX03_IDR_945_991",0.245016223285282
"Q8IX07_IDR_1_83",0.332092957815775
"Q8IX07_IDR_194_247",0.348029395319059
"Q8IX07_IDR_266_972",0.319877646865167
"Q8IX12_IDR_212_357",0.196417076631979
"Q8IX12_IDR_599_722",0.210310431622558
"Q8IX12_IDR_793_917",0.203306111640733
"Q8IX12_IDR_9_144",0.193042147878254
"Q8IX12_IDR_981_1021",0.196924232226476
"Q8IX15_IDR_125_364",0.250117507706113
"Q8IX15_IDR_1_38",0.24938538920206
"Q8IX15_IDR_420_461",0.239452374965158
"Q8IX15_IDR_504_550",0.261044728126669
"Q8IX18_IDR_1_50",0.464127098292813
"Q8IX18_IDR_706_779",0.535872901707187
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.473360997002149
"Q8IX29_IDR_239_292",0.526639002997851
"Q8IXP5_IDR_108_216",0.494951733065663
"Q8IXP5_IDR_1_106",0.505048266934337
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.510392108713034
"Q8IXQ8_IDR_211_264",0.489607891286966
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.330256728130889
"Q8IXT5_IDR_485_921",0.352530836932363
"Q8IXT5_IDR_89_151",0.317212434936748
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.313784393643852
"Q8IXW0_IDR_176_344",0.355309270385755
"Q8IXW0_IDR_466_587",0.330906335970393
"Q8IXW5_IDR_1_41",0.495332000750254
"Q8IXW5_IDR_171_324",0.504667999249746
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.374146729881819
"Q8IY63_IDR_493_952",0.625853270118181
"Q8IY67_IDR_1_35",0.511929254823121
"Q8IY67_IDR_349_606",0.488070745176879
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.513915264640743
"Q8IY84_IDR_7_44",0.486084735359257
"Q8IY85_IDR_375_441",0.48726952368636
"Q8IY85_IDR_77_146",0.51273047631364
"Q8IY92_IDR_1_50",0.1656871324723
"Q8IY92_IDR_377_470",0.161155717762423
"Q8IY92_IDR_558_613",0.171453409523123
"Q8IY92_IDR_630_669",0.1549307128903
"Q8IY92_IDR_64_289",0.175270768648498
"Q8IY92_IDR_824_1750",0.171502258703356
"Q8IYE1_IDR_684_715",0.175101603347963
"Q8IYF1_IDR_647_753",0.458356827863256
"Q8IYF1_IDR_79_458",0.541643172136744
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.323919377042395
"Q8IYH5_IDR_573_649",0.349655587145945
"Q8IYH5_IDR_714_786",0.32642503581166
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.4962488677394
"Q8IYI6_IDR_287_328",0.5037511322606
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.254390197605354
"Q8IYJ0_IDR_112_175",0.245811814802317
"Q8IYJ0_IDR_204_238",0.252503786774474
"Q8IYJ0_IDR_240_282",0.247294200817855
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.504122682708986
"Q8IYK4_IDR_584_626",0.495877317291014
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.155122776943388
"Q8IYW2_IDR_1347_1410",0.181642598900205
"Q8IYW2_IDR_1985_2022",0.168019581509865
"Q8IYW2_IDR_2287_2320",0.167260203752271
"Q8IYW2_IDR_2540_2579",0.161673941956014
"Q8IYW2_IDR_2630_2661",0.166280896938258
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.51727936360151
"Q8IZ41_IDR_77_124",0.48272063639849
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.331501675982457
"Q8IZ63_IDR_360_422",0.342899452944801
"Q8IZ63_IDR_87_332",0.325598871072743
"Q8IZ69_IDR_1_56",0.497329201721251
"Q8IZ69_IDR_591_625",0.502670798278749
"Q8IZ73_IDR_31_122",0.479956969989028
"Q8IZ73_IDR_421_495",0.520043030010972
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.337148557524018
"Q8IZA0_IDR_201_244",0.344339433884665
"Q8IZA0_IDR_957_1015",0.318512008591316
"Q8IZA3_IDR_114_346",0.500925444896779
"Q8IZA3_IDR_1_50",0.499074555103221
"Q8IZC4_IDR_185_221",0.316419390167862
"Q8IZC4_IDR_409_445",0.318011236242973
"Q8IZC4_IDR_476_603",0.365569373589165
"Q8IZC6_IDR_1_36",0.49538076146162
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.49850652201471
"Q8IZJ3_IDR_1758_1835",0.50149347798529
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.514509651299268
"Q8IZL8_IDR_637_1130",0.485490348700732
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.513963347255915
"Q8IZN3_IDR_323_488",0.486036652744085
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.48854877523206
"Q8IZP6_IDR_97_147",0.51145122476794
"Q8IZP7_IDR_1_118",0.509919706933618
"Q8IZP7_IDR_426_459",0.490080293066382
"Q8IZP9_IDR_249_371",0.249324897014781
"Q8IZP9_IDR_39_74",0.242548778903254
"Q8IZU9_IDR_701_778",0.495795621845007
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.161996729578396
"Q8IZX4_IDR_1220_1400",0.166227624309523
"Q8IZX4_IDR_1644_1826",0.162560893809019
"Q8IZX4_IDR_268_354",0.152868433102084
"Q8IZX4_IDR_536_578",0.184878168129088
"Q8IZX4_IDR_82_235",0.171468151071889
"Q8IZY2_IDR_1152_1210",0.503236743643271
"Q8IZY2_IDR_2105_2146",0.496763256356729
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.440261019220571
"Q8N0S2_IDR_260_351",0.559738980779429
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.241945671032487
"Q8N0U7_IDR_267_299",0.241014262211057
"Q8N0U7_IDR_37_122",0.266637789535915
"Q8N0U7_IDR_391_467",0.250402277220541
"Q8N103_IDR_1_81",0.496906707914157
"Q8N103_IDR_283_731",0.503093292085843
"Q8N108_IDR_1_176",0.508035674793065
"Q8N108_IDR_344_512",0.491964325206935
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.496727763286094
"Q8N114_IDR_203_240",0.503272236713906
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.506388559456283
"Q8N122_IDR_820_949",0.493611440543717
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.488808715692145
"Q8N128_IDR_68_213",0.511191284307856
"Q8N129_IDR_1_32",0.489746245422663
"Q8N129_IDR_202_248",0.510253754577337
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.342530327371831
"Q8N137_IDR_442_797",0.383965376873818
