"","GO0007049_cell_cycle"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.285224426100702
"Q5VUJ6_IDR_1_54",0.450490758574548
"Q5VUJ6_IDR_308_649",0.549509241425452
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.495378238757809
"Q5VV16_IDR_235_409",0.504621761242191
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.548905567939081
"Q5VV42_IDR_499_545",0.451094432060919
"Q5VWN6_IDR_1918_1981",0.127006584107399
"Q5VWN6_IDR_1993_2150",0.144334107754415
"Q5VWN6_IDR_803_1879",0.23851003970298
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.261600636429283
"Q5VWQ0_IDR_63_351",0.450309348838708
"Q5VWQ0_IDR_708_802",0.288090014732009
"Q5VWQ8_IDR_1141_1189",0.316382488279541
"Q5VWQ8_IDR_1_142",0.343506885058142
"Q5VWQ8_IDR_654_1098",0.340110626662317
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.19705422104716
"Q5VZL5_IDR_1_334",0.220437937510738
"Q5VZL5_IDR_640_677",0.193166688804383
"Q5VZL5_IDR_851_997",0.180947380855416
"Q5VZL5_IDR_999_1200",0.208393771782302
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.156433504217008
"Q5VZP5_IDR_45_103",0.160456321281715
"Q5XX13_IDR_168_231",0.506098822221675
"Q5XX13_IDR_693_978",0.493901177778325
"Q5XXA6_IDR_1_48",0.342288811831457
"Q5XXA6_IDR_74_121",0.30953966500351
"Q5XXA6_IDR_945_986",0.348171523165033
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.499280007013626
"Q63HK3_IDR_383_743",0.500719992986373
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.343949445155436
"Q66K14_IDR_944_993",0.337429516178855
"Q66K41_IDR_1_291",0.583788572251774
"Q66K41_IDR_304_345",0.416211427748226
"Q66K64_IDR_1_37",0.542663726672059
"Q66K64_IDR_275_383",0.457336273327941
"Q66K66_IDR_241_349",0.565629271210754
"Q66K66_IDR_32_81",0.434370728789246
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.235055763795558
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.508333624044476
"Q8IU57_IDR_479_520",0.491666375955524
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.496897775139328
"Q8IU81_IDR_56_237",0.503102224860672
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.529536346182519
"Q8IUC6_IDR_634_673",0.470463653817481
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.204478028469116
"Q8IUD2_IDR_621_730",0.284013156382181
"Q8IUD2_IDR_764_839",0.233642520656429
"Q8IUD2_IDR_926_1072",0.277866294492274
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.482120314409263
"Q8IUE0_IDR_1_55",0.517879685590737
"Q8IUE1_IDR_116_241",0.493759510969541
"Q8IUE1_IDR_1_55",0.506240489030459
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.336591580795761
"Q8IUG5_IDR_1_504",0.261578922793171
"Q8IUW5_IDR_126_223",0.254544293883585
"Q8IUW5_IDR_1_54",0.219245002788504
"Q8IUW5_IDR_234_271",0.261729362031729
"Q8IUW5_IDR_91_123",0.264481341296182
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.362885260300479
"Q8IUX7_IDR_1099_1138",0.326167143672727
"Q8IUX7_IDR_44_388",0.310947596026793
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.487595887942641
"Q8IUY3_IDR_182_321",0.512404112057359
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.506641788902078
"Q8IV04_IDR_352_446",0.493358211097922
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.518861077672234
"Q8IV31_IDR_62_184",0.481138922327766
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.250262786822517
"Q8IVE3_IDR_1453_1493",0.237858959575308
"Q8IVE3_IDR_36_69",0.261332219324237
"Q8IVE3_IDR_71_132",0.250546034277938
"Q8IVF1_IDR_14_81",0.201495115367387
"Q8IVF1_IDR_232_366",0.194568062941175
"Q8IVF1_IDR_407_522",0.200486971077498
"Q8IVF1_IDR_525_878",0.215011930664776
"Q8IVF1_IDR_83_205",0.188437919949165
"Q8IVF2_IDR_1_114",0.30534920107288
"Q8IVF2_IDR_1794_5795",0.340563786395562
"Q8IVF2_IDR_195_1792",0.354087012531558
"Q8IVF4_IDR_156_187",0.497731696793244
"Q8IVF4_IDR_1_66",0.502268303206756
"Q8IVF5_IDR_1017_1093",0.235359695470017
"Q8IVF5_IDR_1461_1667",0.289632995027713
"Q8IVF5_IDR_1_498",0.241005427015369
"Q8IVF5_IDR_749_804",0.234001882486902
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.36181851341495
"Q8IVW6_IDR_319_491",0.338418785628516
"Q8IVW6_IDR_516_561",0.299762700956534
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.386076588472819
"Q8IW35_IDR_575_628",0.247111147348911
"Q8IW35_IDR_633_854",0.36681226417827
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.478672182828234
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.497237745569635
"Q8IWE2_IDR_404_437",0.502762254430365
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.478666250104122
"Q8IWF9_IDR_234_348",0.521333749895878
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.119545124621476
"Q8IWI9_IDR_1340_1371",0.0972460595676676
"Q8IWI9_IDR_1398_1903",0.0961072797219471
"Q8IWI9_IDR_1905_2856",0.206704546674768
"Q8IWI9_IDR_261_649",0.0992615761393277
"Q8IWI9_IDR_2974_3016",0.084188585538347
"Q8IWI9_IDR_3020_3065",0.0907533052779072
"Q8IWI9_IDR_681_751",0.097786364373537
"Q8IWI9_IDR_753_1079",0.108407158085022
"Q8IWJ2_IDR_1_69",0.29875819981432
"Q8IWT3_IDR_1658_1690",0.242468465156617
"Q8IWT3_IDR_2437_2517",0.278631670859614
"Q8IWT6_IDR_180_231",0.443761029035399
"Q8IWT6_IDR_62_95",0.556238970964601
"Q8IWU2_IDR_1_101",0.231623693398214
"Q8IWU2_IDR_1377_1415",0.220980844694464
"Q8IWU2_IDR_1426_1459",0.214156299470201
"Q8IWU2_IDR_557_1314",0.333239162437121
"Q8IWU5_IDR_1_40",0.250119375346382
"Q8IWU5_IDR_557_594",0.233225151057461
"Q8IWU5_IDR_648_718",0.2726663214816
"Q8IWU5_IDR_824_860",0.243989152114557
"Q8IWU6_IDR_1_37",0.253508229211528
"Q8IWU6_IDR_510_543",0.251505741722406
"Q8IWU6_IDR_561_610",0.234623179641999
"Q8IWU6_IDR_666_738",0.260362849424067
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.328307808864283
"Q8IWV1_IDR_178_270",0.346823592181167
"Q8IWV1_IDR_295_398",0.32486859895455
"Q8IX03_IDR_790_917",0.269041526692279
"Q8IX03_IDR_945_991",0.246184039321038
"Q8IX07_IDR_1_83",0.331179619056656
"Q8IX07_IDR_194_247",0.353869261381981
"Q8IX07_IDR_266_972",0.314951119561363
"Q8IX12_IDR_212_357",0.226667330911605
"Q8IX12_IDR_599_722",0.185746414185148
"Q8IX12_IDR_793_917",0.209536543647178
"Q8IX12_IDR_9_144",0.198048352964644
"Q8IX12_IDR_981_1021",0.180001358291425
"Q8IX15_IDR_125_364",0.269021836566356
"Q8IX15_IDR_1_38",0.261668311967725
"Q8IX15_IDR_420_461",0.232845762313924
"Q8IX15_IDR_504_550",0.236464089151995
"Q8IX18_IDR_1_50",0.440038983128507
"Q8IX18_IDR_706_779",0.559961016871492
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.475004837186569
"Q8IX29_IDR_239_292",0.524995162813431
"Q8IXP5_IDR_108_216",0.535437945471042
"Q8IXP5_IDR_1_106",0.464562054528958
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.524327891246989
"Q8IXQ8_IDR_211_264",0.475672108753011
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.407259157801307
"Q8IXT5_IDR_485_921",0.292532056091876
"Q8IXT5_IDR_89_151",0.300208786106817
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.306937338384663
"Q8IXW0_IDR_176_344",0.321984806627947
"Q8IXW0_IDR_466_587",0.37107785498739
"Q8IXW5_IDR_1_41",0.501295484751626
"Q8IXW5_IDR_171_324",0.498704515248375
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.42624393387342
"Q8IY63_IDR_493_952",0.57375606612658
"Q8IY67_IDR_1_35",0.576992325041954
"Q8IY67_IDR_349_606",0.423007674958047
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.501061848704046
"Q8IY84_IDR_7_44",0.498938151295954
"Q8IY85_IDR_375_441",0.494833471935044
"Q8IY85_IDR_77_146",0.505166528064956
"Q8IY92_IDR_1_50",0.153908676353485
"Q8IY92_IDR_377_470",0.165448237316214
"Q8IY92_IDR_558_613",0.145704089495508
"Q8IY92_IDR_630_669",0.147387899120844
"Q8IY92_IDR_64_289",0.184146536470275
"Q8IY92_IDR_824_1750",0.203404561243674
"Q8IYE1_IDR_684_715",0.465159463921755
"Q8IYF1_IDR_647_753",0.464185210142941
"Q8IYF1_IDR_79_458",0.535814789857059
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.424412631826934
"Q8IYH5_IDR_573_649",0.298720332201182
"Q8IYH5_IDR_714_786",0.276867035971885
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.455888288405993
"Q8IYI6_IDR_287_328",0.544111711594007
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.241725559822619
"Q8IYJ0_IDR_112_175",0.243400882187366
"Q8IYJ0_IDR_204_238",0.272611405685578
"Q8IYJ0_IDR_240_282",0.242262152304436
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.487197000731837
"Q8IYK4_IDR_584_626",0.512802999268163
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.162790024948663
"Q8IYW2_IDR_1347_1410",0.159532946930991
"Q8IYW2_IDR_1985_2022",0.176641876251617
"Q8IYW2_IDR_2287_2320",0.165355973130408
"Q8IYW2_IDR_2540_2579",0.165674450368847
"Q8IYW2_IDR_2630_2661",0.170004728369475
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.557480670416866
"Q8IZ41_IDR_77_124",0.442519329583134
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.348015464474521
"Q8IZ63_IDR_360_422",0.349068189737725
"Q8IZ63_IDR_87_332",0.302916345787754
"Q8IZ69_IDR_1_56",0.49209263615742
"Q8IZ69_IDR_591_625",0.50790736384258
"Q8IZ73_IDR_31_122",0.502708076650052
"Q8IZ73_IDR_421_495",0.497291923349948
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.31070506949439
"Q8IZA0_IDR_201_244",0.339113209641198
"Q8IZA0_IDR_957_1015",0.350181720864411
"Q8IZA3_IDR_114_346",0.509463448631589
"Q8IZA3_IDR_1_50",0.490536551368411
"Q8IZC4_IDR_185_221",0.309778980185722
"Q8IZC4_IDR_409_445",0.293799186082194
"Q8IZC4_IDR_476_603",0.396421833732084
"Q8IZC6_IDR_1_36",0.557013922607885
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.524119910932877
"Q8IZJ3_IDR_1758_1835",0.475880089067123
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.540779725808916
"Q8IZL8_IDR_637_1130",0.459220274191084
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.569265833476459
"Q8IZN3_IDR_323_488",0.430734166523541
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.518378130605204
"Q8IZP6_IDR_97_147",0.481621869394796
"Q8IZP7_IDR_1_118",0.523921490228869
"Q8IZP7_IDR_426_459",0.476078509771131
"Q8IZP9_IDR_249_371",0.25927166665917
"Q8IZP9_IDR_39_74",0.261645352527972
"Q8IZU9_IDR_701_778",0.494880394225855
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.155232027903825
"Q8IZX4_IDR_1220_1400",0.161675923015881
"Q8IZX4_IDR_1644_1826",0.164490100056682
"Q8IZX4_IDR_268_354",0.166764495811649
"Q8IZX4_IDR_536_578",0.213746529768103
"Q8IZX4_IDR_82_235",0.138090923443861
"Q8IZY2_IDR_1152_1210",0.50110939398661
"Q8IZY2_IDR_2105_2146",0.49889060601339
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.481851656963032
"Q8N0S2_IDR_260_351",0.518148343036968
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.254771068450434
"Q8N0U7_IDR_267_299",0.253384288896415
"Q8N0U7_IDR_37_122",0.250799266873294
"Q8N0U7_IDR_391_467",0.241045375779857
"Q8N103_IDR_1_81",0.44982497991657
"Q8N103_IDR_283_731",0.55017502008343
"Q8N108_IDR_1_176",0.48594623230096
"Q8N108_IDR_344_512",0.51405376769904
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.523325029713643
"Q8N114_IDR_203_240",0.476674970286357
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.505376188158104
"Q8N122_IDR_820_949",0.494623811841896
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.481289428360736
"Q8N128_IDR_68_213",0.518710571639264
"Q8N129_IDR_1_32",0.505356666993486
"Q8N129_IDR_202_248",0.494643333006514
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.339416171605892
"Q8N137_IDR_442_797",0.393227118917437
