"","GO0010970_transport_along_microtubule"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.268768882465899
"Q5VUJ6_IDR_1_54",0.395792677574233
"Q5VUJ6_IDR_308_649",0.604207322425767
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.531585630073496
"Q5VV16_IDR_235_409",0.468414369926504
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.506339793147473
"Q5VV42_IDR_499_545",0.493660206852527
"Q5VWN6_IDR_1918_1981",0.171469022077689
"Q5VWN6_IDR_1993_2150",0.165830191952514
"Q5VWN6_IDR_803_1879",0.175713026233939
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.318615646164575
"Q5VWQ0_IDR_63_351",0.357356454635071
"Q5VWQ0_IDR_708_802",0.324027899200354
"Q5VWQ8_IDR_1141_1189",0.332856045749731
"Q5VWQ8_IDR_1_142",0.329519371531564
"Q5VWQ8_IDR_654_1098",0.337624582718705
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.192803606727735
"Q5VZL5_IDR_1_334",0.2209526130937
"Q5VZL5_IDR_640_677",0.184889250846834
"Q5VZL5_IDR_851_997",0.187466156889173
"Q5VZL5_IDR_999_1200",0.213888372442558
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.154301978869792
"Q5VZP5_IDR_45_103",0.146402025637057
"Q5XX13_IDR_168_231",0.476875039827423
"Q5XX13_IDR_693_978",0.523124960172577
"Q5XXA6_IDR_1_48",0.336324650751865
"Q5XXA6_IDR_74_121",0.341697689177466
"Q5XXA6_IDR_945_986",0.321977660070669
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.493572613840322
"Q63HK3_IDR_383_743",0.506427386159678
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.304633711883992
"Q66K14_IDR_944_993",0.371799287179269
"Q66K41_IDR_1_291",0.491139388318328
"Q66K41_IDR_304_345",0.508860611681672
"Q66K64_IDR_1_37",0.518005993918878
"Q66K64_IDR_275_383",0.481994006081122
"Q66K66_IDR_241_349",0.515531966480053
"Q66K66_IDR_32_81",0.484468033519947
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.233969805465178
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.489795793632136
"Q8IU57_IDR_479_520",0.510204206367864
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.487976135355359
"Q8IU81_IDR_56_237",0.512023864644641
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.499581242901172
"Q8IUC6_IDR_634_673",0.500418757098829
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.273608583083291
"Q8IUD2_IDR_621_730",0.256050468566858
"Q8IUD2_IDR_764_839",0.238471931959067
"Q8IUD2_IDR_926_1072",0.231869016390784
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.484993269739675
"Q8IUE0_IDR_1_55",0.515006730260325
"Q8IUE1_IDR_116_241",0.481486877695312
"Q8IUE1_IDR_1_55",0.518513122304688
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.239773431814279
"Q8IUG5_IDR_1_504",0.277767923120859
"Q8IUW5_IDR_126_223",0.231468253607458
"Q8IUW5_IDR_1_54",0.238540819527959
"Q8IUW5_IDR_234_271",0.268092351858889
"Q8IUW5_IDR_91_123",0.261898575005694
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.324964714769573
"Q8IUX7_IDR_1099_1138",0.353839781609452
"Q8IUX7_IDR_44_388",0.321195503620976
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.477613715452525
"Q8IUY3_IDR_182_321",0.522386284547475
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.493045240267304
"Q8IV04_IDR_352_446",0.506954759732696
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.475004579486189
"Q8IV31_IDR_62_184",0.524995420513811
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.232087086015716
"Q8IVE3_IDR_1453_1493",0.246648419658786
"Q8IVE3_IDR_36_69",0.258805427182561
"Q8IVE3_IDR_71_132",0.262459067142937
"Q8IVF1_IDR_14_81",0.19769230187758
"Q8IVF1_IDR_232_366",0.187466743474199
"Q8IVF1_IDR_407_522",0.200154826798909
"Q8IVF1_IDR_525_878",0.219888156580284
"Q8IVF1_IDR_83_205",0.194797971269029
"Q8IVF2_IDR_1_114",0.263186084410703
"Q8IVF2_IDR_1794_5795",0.37350463089732
"Q8IVF2_IDR_195_1792",0.363309284691977
"Q8IVF4_IDR_156_187",0.480749273100878
"Q8IVF4_IDR_1_66",0.519250726899122
"Q8IVF5_IDR_1017_1093",0.249454651379523
"Q8IVF5_IDR_1461_1667",0.263941300941828
"Q8IVF5_IDR_1_498",0.243865518087276
"Q8IVF5_IDR_749_804",0.242738529591372
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.360245571082191
"Q8IVW6_IDR_319_491",0.350386741176509
"Q8IVW6_IDR_516_561",0.2893676877413
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.334424226592339
"Q8IW35_IDR_575_628",0.354816795075272
"Q8IW35_IDR_633_854",0.310758978332389
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.481310227560536
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.480425331203379
"Q8IWE2_IDR_404_437",0.519574668796621
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.48284414332727
"Q8IWF9_IDR_234_348",0.51715585667273
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.104501732067829
"Q8IWI9_IDR_1340_1371",0.0946262616165948
"Q8IWI9_IDR_1398_1903",0.0929503141365901
"Q8IWI9_IDR_1905_2856",0.205719105383962
"Q8IWI9_IDR_261_649",0.112517545382824
"Q8IWI9_IDR_2974_3016",0.0959792863714259
"Q8IWI9_IDR_3020_3065",0.0956252060767649
"Q8IWI9_IDR_681_751",0.10674839349813
"Q8IWI9_IDR_753_1079",0.0913321554658797
"Q8IWJ2_IDR_1_69",0.289362668184611
"Q8IWT3_IDR_1658_1690",0.251718795830785
"Q8IWT3_IDR_2437_2517",0.309207973977523
"Q8IWT6_IDR_180_231",0.513670642098224
"Q8IWT6_IDR_62_95",0.486329357901776
"Q8IWU2_IDR_1_101",0.231145196059653
"Q8IWU2_IDR_1377_1415",0.237960023540598
"Q8IWU2_IDR_1426_1459",0.22452834689055
"Q8IWU2_IDR_557_1314",0.306366433509199
"Q8IWU5_IDR_1_40",0.254722173342947
"Q8IWU5_IDR_557_594",0.255667529301684
"Q8IWU5_IDR_648_718",0.243532549499063
"Q8IWU5_IDR_824_860",0.246077747856306
"Q8IWU6_IDR_1_37",0.242843048985757
"Q8IWU6_IDR_510_543",0.246339104279811
"Q8IWU6_IDR_561_610",0.264082427062437
"Q8IWU6_IDR_666_738",0.246735419671995
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.312769922263088
"Q8IWV1_IDR_178_270",0.337625649190324
"Q8IWV1_IDR_295_398",0.349604428546588
"Q8IX03_IDR_790_917",0.256455562165625
"Q8IX03_IDR_945_991",0.236475766595838
"Q8IX07_IDR_1_83",0.372853063184212
"Q8IX07_IDR_194_247",0.3290283076466
"Q8IX07_IDR_266_972",0.298118629169188
"Q8IX12_IDR_212_357",0.190145281061788
"Q8IX12_IDR_599_722",0.223615213583206
"Q8IX12_IDR_793_917",0.215648421551454
"Q8IX12_IDR_9_144",0.176268479057075
"Q8IX12_IDR_981_1021",0.194322604746476
"Q8IX15_IDR_125_364",0.249804012708046
"Q8IX15_IDR_1_38",0.249526426550287
"Q8IX15_IDR_420_461",0.242179683415891
"Q8IX15_IDR_504_550",0.258489877325776
"Q8IX18_IDR_1_50",0.431374596237952
"Q8IX18_IDR_706_779",0.568625403762048
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.497896487481503
"Q8IX29_IDR_239_292",0.502103512518497
"Q8IXP5_IDR_108_216",0.496087164399964
"Q8IXP5_IDR_1_106",0.503912835600036
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.512170545327807
"Q8IXQ8_IDR_211_264",0.487829454672193
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.337939878787671
"Q8IXT5_IDR_485_921",0.341271100252272
"Q8IXT5_IDR_89_151",0.320789020960057
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.321789891900791
"Q8IXW0_IDR_176_344",0.350229765801112
"Q8IXW0_IDR_466_587",0.327980342298096
"Q8IXW5_IDR_1_41",0.530282650662418
"Q8IXW5_IDR_171_324",0.469717349337582
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.43689025306105
"Q8IY63_IDR_493_952",0.56310974693895
"Q8IY67_IDR_1_35",0.4652697016668
"Q8IY67_IDR_349_606",0.5347302983332
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.490747966506778
"Q8IY84_IDR_7_44",0.509252033493222
"Q8IY85_IDR_375_441",0.509234673393444
"Q8IY85_IDR_77_146",0.490765326606556
"Q8IY92_IDR_1_50",0.165083894732955
"Q8IY92_IDR_377_470",0.167668731629058
"Q8IY92_IDR_558_613",0.162122068054865
"Q8IY92_IDR_630_669",0.162652001145818
"Q8IY92_IDR_64_289",0.169640035488011
"Q8IY92_IDR_824_1750",0.172833268949292
"Q8IYE1_IDR_684_715",0.258906965614741
"Q8IYF1_IDR_647_753",0.458756330076146
"Q8IYF1_IDR_79_458",0.541243669923854
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.331917009086496
"Q8IYH5_IDR_573_649",0.323866511516249
"Q8IYH5_IDR_714_786",0.344216479397256
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.471412396632472
"Q8IYI6_IDR_287_328",0.528587603367528
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.239146586147279
"Q8IYJ0_IDR_112_175",0.255976958297756
"Q8IYJ0_IDR_204_238",0.25395919034934
"Q8IYJ0_IDR_240_282",0.250917265205626
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.477255881446533
"Q8IYK4_IDR_584_626",0.522744118553467
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.159504710688662
"Q8IYW2_IDR_1347_1410",0.182198644213029
"Q8IYW2_IDR_1985_2022",0.169309574242699
"Q8IYW2_IDR_2287_2320",0.164452354573112
"Q8IYW2_IDR_2540_2579",0.161736519431102
"Q8IYW2_IDR_2630_2661",0.162798196851396
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.496234697115125
"Q8IZ41_IDR_77_124",0.503765302884875
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.323223262090734
"Q8IZ63_IDR_360_422",0.33181533254573
"Q8IZ63_IDR_87_332",0.344961405363537
"Q8IZ69_IDR_1_56",0.504584936480528
"Q8IZ69_IDR_591_625",0.495415063519472
"Q8IZ73_IDR_31_122",0.498257485880784
"Q8IZ73_IDR_421_495",0.501742514119216
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.326447284302418
"Q8IZA0_IDR_201_244",0.331587946639875
"Q8IZA0_IDR_957_1015",0.341964769057707
"Q8IZA3_IDR_114_346",0.499010436018966
"Q8IZA3_IDR_1_50",0.500989563981034
"Q8IZC4_IDR_185_221",0.342660001648067
"Q8IZC4_IDR_409_445",0.329910240561844
"Q8IZC4_IDR_476_603",0.32742975779009
"Q8IZC6_IDR_1_36",0.512389705193889
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.508044315263681
"Q8IZJ3_IDR_1758_1835",0.491955684736319
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.490498092957504
"Q8IZL8_IDR_637_1130",0.509501907042495
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.510578754156275
"Q8IZN3_IDR_323_488",0.489421245843725
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.496299516994932
"Q8IZP6_IDR_97_147",0.503700483005068
"Q8IZP7_IDR_1_118",0.450594319178694
"Q8IZP7_IDR_426_459",0.549405680821306
"Q8IZP9_IDR_249_371",0.245815197063724
"Q8IZP9_IDR_39_74",0.248384995242701
"Q8IZU9_IDR_701_778",0.479639237962753
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.168813827747204
"Q8IZX4_IDR_1220_1400",0.160238418612464
"Q8IZX4_IDR_1644_1826",0.211821935727557
"Q8IZX4_IDR_268_354",0.146049815259259
"Q8IZX4_IDR_536_578",0.156798784061426
"Q8IZX4_IDR_82_235",0.15627721859209
"Q8IZY2_IDR_1152_1210",0.506742221073149
"Q8IZY2_IDR_2105_2146",0.493257778926851
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.486976544502935
"Q8N0S2_IDR_260_351",0.513023455497065
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.249302732162258
"Q8N0U7_IDR_267_299",0.238590116808781
"Q8N0U7_IDR_37_122",0.253120726011176
"Q8N0U7_IDR_391_467",0.258986425017785
"Q8N103_IDR_1_81",0.501400974491016
"Q8N103_IDR_283_731",0.498599025508984
"Q8N108_IDR_1_176",0.609734964094889
"Q8N108_IDR_344_512",0.390265035905111
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.498039415405708
"Q8N114_IDR_203_240",0.501960584594292
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.500082828088607
"Q8N122_IDR_820_949",0.499917171911393
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.464083999184967
"Q8N128_IDR_68_213",0.535916000815033
"Q8N129_IDR_1_32",0.446022119910268
"Q8N129_IDR_202_248",0.553977880089732
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.339417498124568
