"","GO0097712_vesicle_targeting._trans_Golgi_to_periciliary_membrane_compartment"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.278090411640166
"Q5VUJ6_IDR_1_54",0.441655853031715
"Q5VUJ6_IDR_308_649",0.558344146968285
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.52557421230962
"Q5VV16_IDR_235_409",0.47442578769038
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.501620716221641
"Q5VV42_IDR_499_545",0.498379283778359
"Q5VWN6_IDR_1918_1981",0.170514873162679
"Q5VWN6_IDR_1993_2150",0.166047113042143
"Q5VWN6_IDR_803_1879",0.169341488931764
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.321257377179098
"Q5VWQ0_IDR_63_351",0.345428298628696
"Q5VWQ0_IDR_708_802",0.333314324192206
"Q5VWQ8_IDR_1141_1189",0.33205168271236
"Q5VWQ8_IDR_1_142",0.326101300324931
"Q5VWQ8_IDR_654_1098",0.341847016962709
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.194121973775888
"Q5VZL5_IDR_1_334",0.215791550172755
"Q5VZL5_IDR_640_677",0.190945022455266
"Q5VZL5_IDR_851_997",0.193314650974776
"Q5VZL5_IDR_999_1200",0.205826802621315
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.163057864933687
"Q5VZP5_IDR_45_103",0.149740406304553
"Q5XX13_IDR_168_231",0.484807647543812
"Q5XX13_IDR_693_978",0.515192352456188
"Q5XXA6_IDR_1_48",0.338761190623764
"Q5XXA6_IDR_74_121",0.338287075236994
"Q5XXA6_IDR_945_986",0.322951734139241
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.50331716771564
"Q63HK3_IDR_383_743",0.49668283228436
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.323285460135013
"Q66K14_IDR_944_993",0.351327232815081
"Q66K41_IDR_1_291",0.480837443423587
"Q66K41_IDR_304_345",0.519162556576413
"Q66K64_IDR_1_37",0.51119906214648
"Q66K64_IDR_275_383",0.48880093785352
"Q66K66_IDR_241_349",0.502262414321033
"Q66K66_IDR_32_81",0.497737585678967
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.239648153112914
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.486285301191408
"Q8IU57_IDR_479_520",0.513714698808592
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.492190700393384
"Q8IU81_IDR_56_237",0.507809299606616
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.497110284068337
"Q8IUC6_IDR_634_673",0.502889715931663
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.241620156641358
"Q8IUD2_IDR_621_730",0.261347443023419
"Q8IUD2_IDR_764_839",0.253164381585674
"Q8IUD2_IDR_926_1072",0.243868018749549
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.494650691579391
"Q8IUE0_IDR_1_55",0.505349308420609
"Q8IUE1_IDR_116_241",0.493189037769777
"Q8IUE1_IDR_1_55",0.506810962230223
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.296552496454601
"Q8IUG5_IDR_1_504",0.298787393575747
"Q8IUW5_IDR_126_223",0.230697703749778
"Q8IUW5_IDR_1_54",0.235522678670994
"Q8IUW5_IDR_234_271",0.274552714393399
"Q8IUW5_IDR_91_123",0.259226903185829
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.308124421118946
"Q8IUX7_IDR_1099_1138",0.338744013457576
"Q8IUX7_IDR_44_388",0.353131565423479
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.48516984613589
"Q8IUY3_IDR_182_321",0.51483015386411
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.493560321864376
"Q8IV04_IDR_352_446",0.506439678135624
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.475598523478922
"Q8IV31_IDR_62_184",0.524401476521078
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.234919015510569
"Q8IVE3_IDR_1453_1493",0.248565630497445
"Q8IVE3_IDR_36_69",0.258495397992633
"Q8IVE3_IDR_71_132",0.258019955999353
"Q8IVF1_IDR_14_81",0.197972695668407
"Q8IVF1_IDR_232_366",0.188440072243421
"Q8IVF1_IDR_407_522",0.208228782626034
"Q8IVF1_IDR_525_878",0.207666594275534
"Q8IVF1_IDR_83_205",0.197691855186604
"Q8IVF2_IDR_1_114",0.265159491209788
"Q8IVF2_IDR_1794_5795",0.38055161044546
"Q8IVF2_IDR_195_1792",0.354288898344752
"Q8IVF4_IDR_156_187",0.483970078130649
"Q8IVF4_IDR_1_66",0.516029921869351
"Q8IVF5_IDR_1017_1093",0.253787775983733
"Q8IVF5_IDR_1461_1667",0.249385022452996
"Q8IVF5_IDR_1_498",0.248071717280793
"Q8IVF5_IDR_749_804",0.248755484282479
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.34725896647432
"Q8IVW6_IDR_319_491",0.353386494545575
"Q8IVW6_IDR_516_561",0.299354538980105
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.33491117198626
"Q8IW35_IDR_575_628",0.347953124257743
"Q8IW35_IDR_633_854",0.317135703755997
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.479309093884488
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.475441425523952
"Q8IWE2_IDR_404_437",0.524558574476047
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.503512945012091
"Q8IWF9_IDR_234_348",0.496487054987909
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.105703323764161
"Q8IWI9_IDR_1340_1371",0.10299532492583
"Q8IWI9_IDR_1398_1903",0.100573547995432
"Q8IWI9_IDR_1905_2856",0.161336542729518
"Q8IWI9_IDR_261_649",0.11241258873384
"Q8IWI9_IDR_2974_3016",0.103964782652604
"Q8IWI9_IDR_3020_3065",0.105597776975792
"Q8IWI9_IDR_681_751",0.109381173911691
"Q8IWI9_IDR_753_1079",0.0980349383111321
"Q8IWJ2_IDR_1_69",0.289961112432191
"Q8IWT3_IDR_1658_1690",0.249845017342346
"Q8IWT3_IDR_2437_2517",0.286857183045505
"Q8IWT6_IDR_180_231",0.511182368174049
"Q8IWT6_IDR_62_95",0.488817631825951
"Q8IWU2_IDR_1_101",0.239123481560689
"Q8IWU2_IDR_1377_1415",0.245717007814987
"Q8IWU2_IDR_1426_1459",0.240163073183575
"Q8IWU2_IDR_557_1314",0.274996437440748
"Q8IWU5_IDR_1_40",0.250814552721835
"Q8IWU5_IDR_557_594",0.258903551982654
"Q8IWU5_IDR_648_718",0.241161557322142
"Q8IWU5_IDR_824_860",0.24912033797337
"Q8IWU6_IDR_1_37",0.244608929529145
"Q8IWU6_IDR_510_543",0.25012107244714
"Q8IWU6_IDR_561_610",0.260677619483325
"Q8IWU6_IDR_666_738",0.24459237854039
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.318056861270249
"Q8IWV1_IDR_178_270",0.331581733125775
"Q8IWV1_IDR_295_398",0.350361405603975
"Q8IX03_IDR_790_917",0.261296690245098
"Q8IX03_IDR_945_991",0.241794241575605
"Q8IX07_IDR_1_83",0.365544016158896
"Q8IX07_IDR_194_247",0.329593630791319
"Q8IX07_IDR_266_972",0.304862353049785
"Q8IX12_IDR_212_357",0.186391498044308
"Q8IX12_IDR_599_722",0.212652199766222
"Q8IX12_IDR_793_917",0.22916092963373
"Q8IX12_IDR_9_144",0.179924569645609
"Q8IX12_IDR_981_1021",0.191870802910131
"Q8IX15_IDR_125_364",0.249681796812694
"Q8IX15_IDR_1_38",0.252398794725358
"Q8IX15_IDR_420_461",0.241181701988685
"Q8IX15_IDR_504_550",0.256737706473263
"Q8IX18_IDR_1_50",0.45297479411546
"Q8IX18_IDR_706_779",0.54702520588454
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.494615553269738
"Q8IX29_IDR_239_292",0.505384446730262
"Q8IXP5_IDR_108_216",0.500225616210849
"Q8IXP5_IDR_1_106",0.499774383789151
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.514424458941445
"Q8IXQ8_IDR_211_264",0.485575541058555
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.340741060853686
"Q8IXT5_IDR_485_921",0.322382926459422
"Q8IXT5_IDR_89_151",0.336876012686892
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.325840188443208
"Q8IXW0_IDR_176_344",0.350654916741446
"Q8IXW0_IDR_466_587",0.323504894815346
"Q8IXW5_IDR_1_41",0.516339706147688
"Q8IXW5_IDR_171_324",0.483660293852312
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.463935243757787
"Q8IY63_IDR_493_952",0.536064756242213
"Q8IY67_IDR_1_35",0.511635009283491
"Q8IY67_IDR_349_606",0.488364990716509
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.49749228169851
"Q8IY84_IDR_7_44",0.50250771830149
"Q8IY85_IDR_375_441",0.506982693448825
"Q8IY85_IDR_77_146",0.493017306551175
"Q8IY92_IDR_1_50",0.166487517255979
"Q8IY92_IDR_377_470",0.164016970870951
"Q8IY92_IDR_558_613",0.166007839809482
"Q8IY92_IDR_630_669",0.160608363700425
"Q8IY92_IDR_64_289",0.170136036753841
"Q8IY92_IDR_824_1750",0.172743271609322
"Q8IYE1_IDR_684_715",0.330875541442871
"Q8IYF1_IDR_647_753",0.439883102138962
"Q8IYF1_IDR_79_458",0.560116897861038
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.324862053893445
"Q8IYH5_IDR_573_649",0.326066591864969
"Q8IYH5_IDR_714_786",0.349071354241585
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.474709808477609
"Q8IYI6_IDR_287_328",0.525290191522391
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.241678209743282
"Q8IYJ0_IDR_112_175",0.254432039919795
"Q8IYJ0_IDR_204_238",0.254155362445455
"Q8IYJ0_IDR_240_282",0.249734387891468
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.480648173647878
"Q8IYK4_IDR_584_626",0.519351826352122
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.163017489061163
"Q8IYW2_IDR_1347_1410",0.178502470574464
"Q8IYW2_IDR_1985_2022",0.168924761596346
"Q8IYW2_IDR_2287_2320",0.164722445043473
"Q8IYW2_IDR_2540_2579",0.161304945897219
"Q8IYW2_IDR_2630_2661",0.163527887827335
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.489852163676053
"Q8IZ41_IDR_77_124",0.510147836323947
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.331328118909297
"Q8IZ63_IDR_360_422",0.340124294778265
"Q8IZ63_IDR_87_332",0.328547586312438
"Q8IZ69_IDR_1_56",0.503742715348269
"Q8IZ69_IDR_591_625",0.496257284651731
"Q8IZ73_IDR_31_122",0.498091586131019
"Q8IZ73_IDR_421_495",0.501908413868981
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.322293105678124
"Q8IZA0_IDR_201_244",0.341963487790505
"Q8IZA0_IDR_957_1015",0.335743406531371
"Q8IZA3_IDR_114_346",0.504213446281782
"Q8IZA3_IDR_1_50",0.495786553718218
"Q8IZC4_IDR_185_221",0.33839634218764
"Q8IZC4_IDR_409_445",0.330087397751569
"Q8IZC4_IDR_476_603",0.331516260060791
"Q8IZC6_IDR_1_36",0.493683930034295
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.503168821015255
"Q8IZJ3_IDR_1758_1835",0.496831178984745
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.496971017581798
"Q8IZL8_IDR_637_1130",0.503028982418202
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.51583816155671
"Q8IZN3_IDR_323_488",0.48416183844329
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.492495590414369
"Q8IZP6_IDR_97_147",0.507504409585631
"Q8IZP7_IDR_1_118",0.483147640150525
"Q8IZP7_IDR_426_459",0.516852359849475
"Q8IZP9_IDR_249_371",0.249402811231811
"Q8IZP9_IDR_39_74",0.246572484054472
"Q8IZU9_IDR_701_778",0.484639771459199
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.164596272010748
"Q8IZX4_IDR_1220_1400",0.154858325193229
"Q8IZX4_IDR_1644_1826",0.185971361111786
"Q8IZX4_IDR_268_354",0.155768584590932
"Q8IZX4_IDR_536_578",0.158315337047871
"Q8IZX4_IDR_82_235",0.180490120045434
"Q8IZY2_IDR_1152_1210",0.503884073184061
"Q8IZY2_IDR_2105_2146",0.496115926815939
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.494434846544591
"Q8N0S2_IDR_260_351",0.50556515345541
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.246566628928566
"Q8N0U7_IDR_267_299",0.241671002114007
"Q8N0U7_IDR_37_122",0.250158444356997
"Q8N0U7_IDR_391_467",0.26160392460043
"Q8N103_IDR_1_81",0.499852021853126
"Q8N103_IDR_283_731",0.500147978146874
"Q8N108_IDR_1_176",0.55112473598015
"Q8N108_IDR_344_512",0.44887526401985
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.487358185039515
"Q8N114_IDR_203_240",0.512641814960485
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.507740410682853
"Q8N122_IDR_820_949",0.492259589317147
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.471362594358316
"Q8N128_IDR_68_213",0.528637405641684
"Q8N129_IDR_1_32",0.453277702918307
"Q8N129_IDR_202_248",0.546722297081693
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.335470128904739
