"","GO0005814_centriole"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.26176628245018
"Q5VUJ6_IDR_1_54",0.389459921124384
"Q5VUJ6_IDR_308_649",0.610540078875616
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.482855662859497
"Q5VV16_IDR_235_409",0.517144337140503
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.4816438433747
"Q5VV42_IDR_499_545",0.5183561566253
"Q5VWN6_IDR_1918_1981",0.158006810638142
"Q5VWN6_IDR_1993_2150",0.176047953905584
"Q5VWN6_IDR_803_1879",0.204840924727759
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.261334906315416
"Q5VWQ0_IDR_63_351",0.449953722343102
"Q5VWQ0_IDR_708_802",0.288711371341482
"Q5VWQ8_IDR_1141_1189",0.340280559022618
"Q5VWQ8_IDR_1_142",0.331845857490897
"Q5VWQ8_IDR_654_1098",0.327873583486485
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.195977936052134
"Q5VZL5_IDR_1_334",0.218114822886364
"Q5VZL5_IDR_640_677",0.191793832889729
"Q5VZL5_IDR_851_997",0.193573008053596
"Q5VZL5_IDR_999_1200",0.200540400118177
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.164337255630058
"Q5VZP5_IDR_45_103",0.170725810599099
"Q5XX13_IDR_168_231",0.426834678728071
"Q5XX13_IDR_693_978",0.573165321271929
"Q5XXA6_IDR_1_48",0.34712200171342
"Q5XXA6_IDR_74_121",0.322466596119646
"Q5XXA6_IDR_945_986",0.330411402166935
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.500322742778679
"Q63HK3_IDR_383_743",0.499677257221321
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.321722169658312
"Q66K14_IDR_944_993",0.334054578832121
"Q66K41_IDR_1_291",0.499994731378832
"Q66K41_IDR_304_345",0.500005268621168
"Q66K64_IDR_1_37",0.521112520598934
"Q66K64_IDR_275_383",0.478887479401066
"Q66K66_IDR_241_349",0.543333144352677
"Q66K66_IDR_32_81",0.456666855647323
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.236313626120665
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.512307253772238
"Q8IU57_IDR_479_520",0.487692746227762
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.505161127006043
"Q8IU81_IDR_56_237",0.494838872993957
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.493010615344745
"Q8IUC6_IDR_634_673",0.506989384655255
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.218247252674066
"Q8IUD2_IDR_621_730",0.300275190839866
"Q8IUD2_IDR_764_839",0.232213997473109
"Q8IUD2_IDR_926_1072",0.249263559012959
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.506366127562522
"Q8IUE0_IDR_1_55",0.493633872437478
"Q8IUE1_IDR_116_241",0.512044034800886
"Q8IUE1_IDR_1_55",0.487955965199114
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.316619022665042
"Q8IUG5_IDR_1_504",0.278452396675961
"Q8IUW5_IDR_126_223",0.246301419916775
"Q8IUW5_IDR_1_54",0.240842539249447
"Q8IUW5_IDR_234_271",0.264969446463802
"Q8IUW5_IDR_91_123",0.247886594369976
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.352608355846015
"Q8IUX7_IDR_1099_1138",0.34860387520081
"Q8IUX7_IDR_44_388",0.298787768953174
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.493242550429697
"Q8IUY3_IDR_182_321",0.506757449570303
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.477616003890213
"Q8IV04_IDR_352_446",0.522383996109787
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.502260064008339
"Q8IV31_IDR_62_184",0.497739935991661
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.242289169861132
"Q8IVE3_IDR_1453_1493",0.244146409291608
"Q8IVE3_IDR_36_69",0.251934104534556
"Q8IVE3_IDR_71_132",0.261630316312704
"Q8IVF1_IDR_14_81",0.200315954160163
"Q8IVF1_IDR_232_366",0.185631478802837
"Q8IVF1_IDR_407_522",0.204958426789584
"Q8IVF1_IDR_525_878",0.214849646056824
"Q8IVF1_IDR_83_205",0.194244494190592
"Q8IVF2_IDR_1_114",0.310277091784701
"Q8IVF2_IDR_1794_5795",0.338836479070767
"Q8IVF2_IDR_195_1792",0.350886429144532
"Q8IVF4_IDR_156_187",0.496820131741206
"Q8IVF4_IDR_1_66",0.503179868258794
"Q8IVF5_IDR_1017_1093",0.252980980580066
"Q8IVF5_IDR_1461_1667",0.266311063909058
"Q8IVF5_IDR_1_498",0.233737801653303
"Q8IVF5_IDR_749_804",0.246970153857573
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.323301635015631
"Q8IVW6_IDR_319_491",0.378436975834533
"Q8IVW6_IDR_516_561",0.298261389149836
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.369570833164666
"Q8IW35_IDR_575_628",0.31396691948177
"Q8IW35_IDR_633_854",0.316462247353564
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.485793324464234
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.496554225184164
"Q8IWE2_IDR_404_437",0.503445774815836
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.48932499517145
"Q8IWF9_IDR_234_348",0.51067500482855
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.103607198247331
"Q8IWI9_IDR_1340_1371",0.103216540228595
"Q8IWI9_IDR_1398_1903",0.104609564891736
"Q8IWI9_IDR_1905_2856",0.16061436046715
"Q8IWI9_IDR_261_649",0.102307016641859
"Q8IWI9_IDR_2974_3016",0.0948146632212809
"Q8IWI9_IDR_3020_3065",0.104113156106416
"Q8IWI9_IDR_681_751",0.122536591271616
"Q8IWI9_IDR_753_1079",0.104180908924017
"Q8IWJ2_IDR_1_69",0.285043726923972
"Q8IWT3_IDR_1658_1690",0.262788741589353
"Q8IWT3_IDR_2437_2517",0.249009051570421
"Q8IWT6_IDR_180_231",0.488062045466514
"Q8IWT6_IDR_62_95",0.511937954533486
"Q8IWU2_IDR_1_101",0.235811020138104
"Q8IWU2_IDR_1377_1415",0.211588652754028
"Q8IWU2_IDR_1426_1459",0.227232585368129
"Q8IWU2_IDR_557_1314",0.32536774173974
"Q8IWU5_IDR_1_40",0.289359871086602
"Q8IWU5_IDR_557_594",0.221722775196356
"Q8IWU5_IDR_648_718",0.249404788325569
"Q8IWU5_IDR_824_860",0.239512565391474
"Q8IWU6_IDR_1_37",0.261697526218501
"Q8IWU6_IDR_510_543",0.243158940666277
"Q8IWU6_IDR_561_610",0.228064893415982
"Q8IWU6_IDR_666_738",0.26707863969924
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.327223486387289
"Q8IWV1_IDR_178_270",0.332746920043114
"Q8IWV1_IDR_295_398",0.340029593569597
"Q8IX03_IDR_790_917",0.249332464439884
"Q8IX03_IDR_945_991",0.247534522617737
"Q8IX07_IDR_1_83",0.33171504563212
"Q8IX07_IDR_194_247",0.352832050614332
"Q8IX07_IDR_266_972",0.315452903753548
"Q8IX12_IDR_212_357",0.209359409788114
"Q8IX12_IDR_599_722",0.210726973202762
"Q8IX12_IDR_793_917",0.199729175606445
"Q8IX12_IDR_9_144",0.18655329800068
"Q8IX12_IDR_981_1021",0.193631143401999
"Q8IX15_IDR_125_364",0.248683106126913
"Q8IX15_IDR_1_38",0.250771206576955
"Q8IX15_IDR_420_461",0.236331348893808
"Q8IX15_IDR_504_550",0.264214338402324
"Q8IX18_IDR_1_50",0.458190444822272
"Q8IX18_IDR_706_779",0.541809555177728
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.482721042729512
"Q8IX29_IDR_239_292",0.517278957270488
"Q8IXP5_IDR_108_216",0.496217419034855
"Q8IXP5_IDR_1_106",0.503782580965145
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.510290375744195
"Q8IXQ8_IDR_211_264",0.489709624255805
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.332063038937376
"Q8IXT5_IDR_485_921",0.359872240333611
"Q8IXT5_IDR_89_151",0.308064720729013
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.314625051657153
"Q8IXW0_IDR_176_344",0.342118587645893
"Q8IXW0_IDR_466_587",0.343256360696954
"Q8IXW5_IDR_1_41",0.502588128289122
"Q8IXW5_IDR_171_324",0.497411871710878
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.35199277956592
"Q8IY63_IDR_493_952",0.64800722043408
"Q8IY67_IDR_1_35",0.513853783372051
"Q8IY67_IDR_349_606",0.486146216627949
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.517003729291434
"Q8IY84_IDR_7_44",0.482996270708566
"Q8IY85_IDR_375_441",0.489187359985575
"Q8IY85_IDR_77_146",0.510812640014425
"Q8IY92_IDR_1_50",0.166748637327483
"Q8IY92_IDR_377_470",0.159038312649829
"Q8IY92_IDR_558_613",0.17943690214399
"Q8IY92_IDR_630_669",0.154727008439807
"Q8IY92_IDR_64_289",0.172599946373965
"Q8IY92_IDR_824_1750",0.167449193064926
"Q8IYE1_IDR_684_715",0.201351950479272
"Q8IYF1_IDR_647_753",0.450090367258871
"Q8IYF1_IDR_79_458",0.549909632741129
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.325599478925093
"Q8IYH5_IDR_573_649",0.344873762687745
"Q8IYH5_IDR_714_786",0.329526758387162
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.491343125133676
"Q8IYI6_IDR_287_328",0.508656874866324
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.2543503848729
"Q8IYJ0_IDR_112_175",0.245302240216913
"Q8IYJ0_IDR_204_238",0.253139633602887
"Q8IYJ0_IDR_240_282",0.2472077413073
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.496613863766376
"Q8IYK4_IDR_584_626",0.503386136233624
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.152058089736227
"Q8IYW2_IDR_1347_1410",0.188780895311417
"Q8IYW2_IDR_1985_2022",0.167132052704557
"Q8IYW2_IDR_2287_2320",0.167931033718504
"Q8IYW2_IDR_2540_2579",0.159442074372267
"Q8IYW2_IDR_2630_2661",0.164655854157028
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.524187534541741
"Q8IZ41_IDR_77_124",0.475812465458259
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.333447706467724
"Q8IZ63_IDR_360_422",0.341637774009191
"Q8IZ63_IDR_87_332",0.324914519523085
"Q8IZ69_IDR_1_56",0.494152255587783
"Q8IZ69_IDR_591_625",0.505847744412217
"Q8IZ73_IDR_31_122",0.481467604547482
"Q8IZ73_IDR_421_495",0.518532395452518
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.334577304230867
"Q8IZA0_IDR_201_244",0.349707417377038
"Q8IZA0_IDR_957_1015",0.315715278392094
"Q8IZA3_IDR_114_346",0.496425415083905
"Q8IZA3_IDR_1_50",0.503574584916095
"Q8IZC4_IDR_185_221",0.301650369570545
"Q8IZC4_IDR_409_445",0.311433886158282
"Q8IZC4_IDR_476_603",0.386915744271173
"Q8IZC6_IDR_1_36",0.491862189467087
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.502691221815829
"Q8IZJ3_IDR_1758_1835",0.497308778184171
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.518601547884508
"Q8IZL8_IDR_637_1130",0.481398452115491
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.518115098861659
"Q8IZN3_IDR_323_488",0.481884901138341
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.486177556453378
"Q8IZP6_IDR_97_147",0.513822443546623
"Q8IZP7_IDR_1_118",0.504538338384749
"Q8IZP7_IDR_426_459",0.495461661615251
"Q8IZP9_IDR_249_371",0.254280083431327
"Q8IZP9_IDR_39_74",0.2400655324827
"Q8IZU9_IDR_701_778",0.494079846358168
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.161199209780638
"Q8IZX4_IDR_1220_1400",0.170130704526799
"Q8IZX4_IDR_1644_1826",0.160665593774774
"Q8IZX4_IDR_268_354",0.151826406122071
"Q8IZX4_IDR_536_578",0.192402344997777
"Q8IZX4_IDR_82_235",0.163775740797941
"Q8IZY2_IDR_1152_1210",0.502475299569366
"Q8IZY2_IDR_2105_2146",0.497524700430634
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.443056780994159
"Q8N0S2_IDR_260_351",0.556943219005841
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.236060148220623
"Q8N0U7_IDR_267_299",0.23960393538551
"Q8N0U7_IDR_37_122",0.271192088529129
"Q8N0U7_IDR_391_467",0.253143827864737
"Q8N103_IDR_1_81",0.477171693195946
"Q8N103_IDR_283_731",0.522828306804054
"Q8N108_IDR_1_176",0.50533412855754
"Q8N108_IDR_344_512",0.49466587144246
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.493912999746905
"Q8N114_IDR_203_240",0.506087000253095
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.503617104687007
"Q8N122_IDR_820_949",0.496382895312993
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.501440236239083
"Q8N128_IDR_68_213",0.498559763760917
"Q8N129_IDR_1_32",0.485798558216799
"Q8N129_IDR_202_248",0.514201441783201
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.327314205963535
"Q8N137_IDR_442_797",0.414336667561451
