"","GO0006325_chromatin_organization"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.326426787976691
"Q5VUJ6_IDR_1_54",0.498649324891755
"Q5VUJ6_IDR_308_649",0.501350675108245
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.515013458697699
"Q5VV16_IDR_235_409",0.484986541302301
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.527983004580211
"Q5VV42_IDR_499_545",0.472016995419789
"Q5VWN6_IDR_1918_1981",0.155789752838884
"Q5VWN6_IDR_1993_2150",0.156565418300455
"Q5VWN6_IDR_803_1879",0.164987021832289
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.266894428161513
"Q5VWQ0_IDR_63_351",0.456334425121335
"Q5VWQ0_IDR_708_802",0.276771146717152
"Q5VWQ8_IDR_1141_1189",0.34363000275937
"Q5VWQ8_IDR_1_142",0.334220478496445
"Q5VWQ8_IDR_654_1098",0.322149518744185
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.195922575628133
"Q5VZL5_IDR_1_334",0.20609052700262
"Q5VZL5_IDR_640_677",0.195165983837242
"Q5VZL5_IDR_851_997",0.209776878517654
"Q5VZL5_IDR_999_1200",0.193044035014351
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.178021206742446
"Q5VZP5_IDR_45_103",0.162020581906694
"Q5XX13_IDR_168_231",0.498594575774855
"Q5XX13_IDR_693_978",0.501405424225145
"Q5XXA6_IDR_1_48",0.333807873534378
"Q5XXA6_IDR_74_121",0.330780423670738
"Q5XXA6_IDR_945_986",0.335411702794884
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.508488633328909
"Q63HK3_IDR_383_743",0.491511366671091
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.3370532050455
"Q66K14_IDR_944_993",0.339162785293204
"Q66K41_IDR_1_291",0.519962910143927
"Q66K41_IDR_304_345",0.480037089856073
"Q66K64_IDR_1_37",0.511843292026537
"Q66K64_IDR_275_383",0.488156707973463
"Q66K66_IDR_241_349",0.506523084327433
"Q66K66_IDR_32_81",0.493476915672567
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.233172669051955
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.490691436009579
"Q8IU57_IDR_479_520",0.509308563990421
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.491692414154625
"Q8IU81_IDR_56_237",0.508307585845375
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.49825753033506
"Q8IUC6_IDR_634_673",0.50174246966494
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.209510161397375
"Q8IUD2_IDR_621_730",0.258293923833288
"Q8IUD2_IDR_764_839",0.235915682155317
"Q8IUD2_IDR_926_1072",0.29628023261402
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.497275945355732
"Q8IUE0_IDR_1_55",0.502724054644268
"Q8IUE1_IDR_116_241",0.487864639200104
"Q8IUE1_IDR_1_55",0.512135360799896
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.262544554142361
"Q8IUG5_IDR_1_504",0.497042848697915
"Q8IUW5_IDR_126_223",0.24943202632671
"Q8IUW5_IDR_1_54",0.224571560363463
"Q8IUW5_IDR_234_271",0.271051322535305
"Q8IUW5_IDR_91_123",0.254945090774521
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.215698754267616
"Q8IUX7_IDR_1099_1138",0.257059432153044
"Q8IUX7_IDR_44_388",0.52724181357934
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.514069852898509
"Q8IUY3_IDR_182_321",0.485930147101491
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.500869246636171
"Q8IV04_IDR_352_446",0.499130753363829
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.50387048936194
"Q8IV31_IDR_62_184",0.49612951063806
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.228047293334391
"Q8IVE3_IDR_1453_1493",0.256154950297216
"Q8IVE3_IDR_36_69",0.244492714565448
"Q8IVE3_IDR_71_132",0.271305041802945
"Q8IVF1_IDR_14_81",0.19949470918655
"Q8IVF1_IDR_232_366",0.18988271601815
"Q8IVF1_IDR_407_522",0.219414211338609
"Q8IVF1_IDR_525_878",0.20220410574483
"Q8IVF1_IDR_83_205",0.18900425771186
"Q8IVF2_IDR_1_114",0.207489041919212
"Q8IVF2_IDR_1794_5795",0.389152612978419
"Q8IVF2_IDR_195_1792",0.403358345102369
"Q8IVF4_IDR_156_187",0.490606384977876
"Q8IVF4_IDR_1_66",0.509393615022124
"Q8IVF5_IDR_1017_1093",0.24785558400743
"Q8IVF5_IDR_1461_1667",0.272738156336022
"Q8IVF5_IDR_1_498",0.233258511297139
"Q8IVF5_IDR_749_804",0.246147748359409
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.353018646889237
"Q8IVW6_IDR_319_491",0.320448684418195
"Q8IVW6_IDR_516_561",0.326532668692568
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.335534278081059
"Q8IW35_IDR_575_628",0.333178124218162
"Q8IW35_IDR_633_854",0.331287597700779
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.499111784385233
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.454840423265644
"Q8IWE2_IDR_404_437",0.545159576734357
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.527669464036032
"Q8IWF9_IDR_234_348",0.472330535963968
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.116685868636925
"Q8IWI9_IDR_1340_1371",0.10327892063923
"Q8IWI9_IDR_1398_1903",0.103464076831642
"Q8IWI9_IDR_1905_2856",0.147278199582485
"Q8IWI9_IDR_261_649",0.104841987332275
"Q8IWI9_IDR_2974_3016",0.101029158989996
"Q8IWI9_IDR_3020_3065",0.111744078850096
"Q8IWI9_IDR_681_751",0.105827284199022
"Q8IWI9_IDR_753_1079",0.105850424938329
"Q8IWJ2_IDR_1_69",0.396686710907226
"Q8IWT3_IDR_1658_1690",0.241494003172638
"Q8IWT3_IDR_2437_2517",0.224511706402368
"Q8IWT6_IDR_180_231",0.519141834516553
"Q8IWT6_IDR_62_95",0.480858165483447
"Q8IWU2_IDR_1_101",0.235270670787538
"Q8IWU2_IDR_1377_1415",0.229491134484332
"Q8IWU2_IDR_1426_1459",0.245934766574081
"Q8IWU2_IDR_557_1314",0.289303428154048
"Q8IWU5_IDR_1_40",0.237226391506617
"Q8IWU5_IDR_557_594",0.248473813069383
"Q8IWU5_IDR_648_718",0.275172543520707
"Q8IWU5_IDR_824_860",0.239127251903294
"Q8IWU6_IDR_1_37",0.226693596535053
"Q8IWU6_IDR_510_543",0.234604526148876
"Q8IWU6_IDR_561_610",0.254265713299656
"Q8IWU6_IDR_666_738",0.284436164016415
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.325701469207247
"Q8IWV1_IDR_178_270",0.335751988080124
"Q8IWV1_IDR_295_398",0.338546542712629
"Q8IX03_IDR_790_917",0.27749272886034
"Q8IX03_IDR_945_991",0.247758504945561
"Q8IX07_IDR_1_83",0.366962201890333
"Q8IX07_IDR_194_247",0.323017949646339
"Q8IX07_IDR_266_972",0.310019848463328
"Q8IX12_IDR_212_357",0.171715459107099
"Q8IX12_IDR_599_722",0.188127459575188
"Q8IX12_IDR_793_917",0.301722177666417
"Q8IX12_IDR_9_144",0.161083203305631
"Q8IX12_IDR_981_1021",0.177351700345665
"Q8IX15_IDR_125_364",0.244930046194379
"Q8IX15_IDR_1_38",0.248119324753618
"Q8IX15_IDR_420_461",0.244957534661441
"Q8IX15_IDR_504_550",0.261993094390561
"Q8IX18_IDR_1_50",0.466880485244701
"Q8IX18_IDR_706_779",0.533119514755299
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.509946579457842
"Q8IX29_IDR_239_292",0.490053420542158
"Q8IXP5_IDR_108_216",0.500548775669565
"Q8IXP5_IDR_1_106",0.499451224330435
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.527540663159957
"Q8IXQ8_IDR_211_264",0.472459336840043
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.34118143018178
"Q8IXT5_IDR_485_921",0.324202978177376
"Q8IXT5_IDR_89_151",0.334615591640844
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.355912218169754
"Q8IXW0_IDR_176_344",0.320435105377909
"Q8IXW0_IDR_466_587",0.323652676452336
"Q8IXW5_IDR_1_41",0.490608661521373
"Q8IXW5_IDR_171_324",0.509391338478627
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.48391411187865
"Q8IY63_IDR_493_952",0.516085888121349
"Q8IY67_IDR_1_35",0.519863620278328
"Q8IY67_IDR_349_606",0.480136379721672
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.498810249043146
"Q8IY84_IDR_7_44",0.501189750956854
"Q8IY85_IDR_375_441",0.495787565967635
"Q8IY85_IDR_77_146",0.504212434032365
"Q8IY92_IDR_1_50",0.152199079181533
"Q8IY92_IDR_377_470",0.22838125146968
"Q8IY92_IDR_558_613",0.146565433448087
"Q8IY92_IDR_630_669",0.148387552230699
"Q8IY92_IDR_64_289",0.169266853710688
"Q8IY92_IDR_824_1750",0.155199829959312
"Q8IYE1_IDR_684_715",0.442370406301301
"Q8IYF1_IDR_647_753",0.47121829552864
"Q8IYF1_IDR_79_458",0.52878170447136
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.36513615908884
"Q8IYH5_IDR_573_649",0.322370139745755
"Q8IYH5_IDR_714_786",0.312493701165405
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.456973064037986
"Q8IYI6_IDR_287_328",0.543026935962014
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.241621343959733
"Q8IYJ0_IDR_112_175",0.247594274378138
"Q8IYJ0_IDR_204_238",0.257847032133369
"Q8IYJ0_IDR_240_282",0.25293734952876
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.491845232870984
"Q8IYK4_IDR_584_626",0.508154767129016
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.153776255457091
"Q8IYW2_IDR_1347_1410",0.228374601558154
"Q8IYW2_IDR_1985_2022",0.158214754242949
"Q8IYW2_IDR_2287_2320",0.162317975860071
"Q8IYW2_IDR_2540_2579",0.149375128675805
"Q8IYW2_IDR_2630_2661",0.147941284205931
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.485754410901537
"Q8IZ41_IDR_77_124",0.514245589098463
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.299289092145249
"Q8IZ63_IDR_360_422",0.393086715364373
"Q8IZ63_IDR_87_332",0.307624192490378
"Q8IZ69_IDR_1_56",0.511793365426239
"Q8IZ69_IDR_591_625",0.488206634573761
"Q8IZ73_IDR_31_122",0.451150894442199
"Q8IZ73_IDR_421_495",0.548849105557801
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.322857704299141
"Q8IZA0_IDR_201_244",0.334014576290701
"Q8IZA0_IDR_957_1015",0.343127719410158
"Q8IZA3_IDR_114_346",0.751974405214953
"Q8IZA3_IDR_1_50",0.248025594785047
"Q8IZC4_IDR_185_221",0.322266000263367
"Q8IZC4_IDR_409_445",0.299187427796445
"Q8IZC4_IDR_476_603",0.378546571940188
"Q8IZC6_IDR_1_36",0.492373243984487
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.520282064151988
"Q8IZJ3_IDR_1758_1835",0.479717935848012
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.490337992024153
"Q8IZL8_IDR_637_1130",0.509662007975847
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.511029990812413
"Q8IZN3_IDR_323_488",0.488970009187587
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.522464101310452
"Q8IZP6_IDR_97_147",0.477535898689548
"Q8IZP7_IDR_1_118",0.494754572454992
"Q8IZP7_IDR_426_459",0.505245427545007
"Q8IZP9_IDR_249_371",0.251215273082664
"Q8IZP9_IDR_39_74",0.243884248627601
"Q8IZU9_IDR_701_778",0.481632100445079
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.166884972916941
"Q8IZX4_IDR_1220_1400",0.156857448294142
"Q8IZX4_IDR_1644_1826",0.149231572188475
"Q8IZX4_IDR_268_354",0.17055849106547
"Q8IZX4_IDR_536_578",0.16311020271782
"Q8IZX4_IDR_82_235",0.193357312817153
"Q8IZY2_IDR_1152_1210",0.493530597261958
"Q8IZY2_IDR_2105_2146",0.506469402738042
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.492121971335016
"Q8N0S2_IDR_260_351",0.507878028664984
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.237409793678128
"Q8N0U7_IDR_267_299",0.248056165175907
"Q8N0U7_IDR_37_122",0.25528315670212
"Q8N0U7_IDR_391_467",0.259250884443845
"Q8N103_IDR_1_81",0.532662503326309
"Q8N103_IDR_283_731",0.467337496673691
"Q8N108_IDR_1_176",0.482093964662675
"Q8N108_IDR_344_512",0.517906035337325
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.495603420765034
"Q8N114_IDR_203_240",0.504396579234966
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.50529308194042
"Q8N122_IDR_820_949",0.49470691805958
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.514890727224366
"Q8N128_IDR_68_213",0.485109272775634
"Q8N129_IDR_1_32",0.399773670856776
"Q8N129_IDR_202_248",0.600226329143224
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.32967161615854
"Q8N137_IDR_442_797",0.322671533623911
