"","GO0070161_anchoring_junction"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.327277532640819
"Q5VUJ6_IDR_1_54",0.430617772573387
"Q5VUJ6_IDR_308_649",0.569382227426613
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.479139528633856
"Q5VV16_IDR_235_409",0.520860471366144
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.484989998154174
"Q5VV42_IDR_499_545",0.515010001845825
"Q5VWN6_IDR_1918_1981",0.190444483848601
"Q5VWN6_IDR_1993_2150",0.168745559823872
"Q5VWN6_IDR_803_1879",0.156982850239479
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.359416076836477
"Q5VWQ0_IDR_63_351",0.319733864664983
"Q5VWQ0_IDR_708_802",0.32085005849854
"Q5VWQ8_IDR_1141_1189",0.326280219757125
"Q5VWQ8_IDR_1_142",0.29547450414965
"Q5VWQ8_IDR_654_1098",0.378245276093226
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.199502003932696
"Q5VZL5_IDR_1_334",0.197420182347284
"Q5VZL5_IDR_640_677",0.199793922035934
"Q5VZL5_IDR_851_997",0.197936857562499
"Q5VZL5_IDR_999_1200",0.205347034121587
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.152368983278411
"Q5VZP5_IDR_45_103",0.192887669214353
"Q5XX13_IDR_168_231",0.519754138498846
"Q5XX13_IDR_693_978",0.480245861501154
"Q5XXA6_IDR_1_48",0.356634739358633
"Q5XXA6_IDR_74_121",0.327759202011851
"Q5XXA6_IDR_945_986",0.315606058629517
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.502046127399559
"Q63HK3_IDR_383_743",0.497953872600441
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.361115569339151
"Q66K14_IDR_944_993",0.324788898313586
"Q66K41_IDR_1_291",0.413639748350347
"Q66K41_IDR_304_345",0.586360251649653
"Q66K64_IDR_1_37",0.504688500618586
"Q66K64_IDR_275_383",0.495311499381414
"Q66K66_IDR_241_349",0.502216300430962
"Q66K66_IDR_32_81",0.497783699569038
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.25617507604989
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.47567824515974
"Q8IU57_IDR_479_520",0.52432175484026
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.506962186460322
"Q8IU81_IDR_56_237",0.493037813539678
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.480979769347583
"Q8IUC6_IDR_634_673",0.519020230652417
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.306809045343248
"Q8IUD2_IDR_621_730",0.23367988100775
"Q8IUD2_IDR_764_839",0.239584616490871
"Q8IUD2_IDR_926_1072",0.21992645715813
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.510812535623039
"Q8IUE0_IDR_1_55",0.489187464376961
"Q8IUE1_IDR_116_241",0.511298824476921
"Q8IUE1_IDR_1_55",0.488701175523079
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.35858245342186
"Q8IUG5_IDR_1_504",0.301626172491803
"Q8IUW5_IDR_126_223",0.236154433122041
"Q8IUW5_IDR_1_54",0.244779538489699
"Q8IUW5_IDR_234_271",0.267208700109134
"Q8IUW5_IDR_91_123",0.251857328279126
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.341673341395243
"Q8IUX7_IDR_1099_1138",0.339352957263984
"Q8IUX7_IDR_44_388",0.318973701340774
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.493769532233704
"Q8IUY3_IDR_182_321",0.506230467766296
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.493878034001036
"Q8IV04_IDR_352_446",0.506121965998964
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.430683080127425
"Q8IV31_IDR_62_184",0.569316919872575
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.308585908926533
"Q8IVE3_IDR_1453_1493",0.23180911064767
"Q8IVE3_IDR_36_69",0.241125276317718
"Q8IVE3_IDR_71_132",0.218479704108079
"Q8IVF1_IDR_14_81",0.209146473493723
"Q8IVF1_IDR_232_366",0.20471902576418
"Q8IVF1_IDR_407_522",0.200416226102241
"Q8IVF1_IDR_525_878",0.190310422027279
"Q8IVF1_IDR_83_205",0.195407852612577
"Q8IVF2_IDR_1_114",0.371004951384074
"Q8IVF2_IDR_1794_5795",0.313641564744535
"Q8IVF2_IDR_195_1792",0.315353483871392
"Q8IVF4_IDR_156_187",0.51452515496334
"Q8IVF4_IDR_1_66",0.48547484503666
"Q8IVF5_IDR_1017_1093",0.235393384126576
"Q8IVF5_IDR_1461_1667",0.21375911702148
"Q8IVF5_IDR_1_498",0.311564590903466
"Q8IVF5_IDR_749_804",0.239282907948478
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.333011070494674
"Q8IVW6_IDR_319_491",0.34857607426971
"Q8IVW6_IDR_516_561",0.318412855235615
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.325973884660495
"Q8IW35_IDR_575_628",0.35794381882985
"Q8IW35_IDR_633_854",0.316082296509654
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.481405537726939
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.47965101269079
"Q8IWE2_IDR_404_437",0.52034898730921
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.509712976322266
"Q8IWF9_IDR_234_348",0.490287023677734
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.115682444035405
"Q8IWI9_IDR_1340_1371",0.116930696994017
"Q8IWI9_IDR_1398_1903",0.105071445416378
"Q8IWI9_IDR_1905_2856",0.101993363127242
"Q8IWI9_IDR_261_649",0.109044298280119
"Q8IWI9_IDR_2974_3016",0.113692332960674
"Q8IWI9_IDR_3020_3065",0.111620277631108
"Q8IWI9_IDR_681_751",0.113573971178919
"Q8IWI9_IDR_753_1079",0.112391170376137
"Q8IWJ2_IDR_1_69",0.349202243651071
"Q8IWT3_IDR_1658_1690",0.235492974299337
"Q8IWT3_IDR_2437_2517",0.292126338623948
"Q8IWT6_IDR_180_231",0.485136643002889
"Q8IWT6_IDR_62_95",0.514863356997111
"Q8IWU2_IDR_1_101",0.240424359008664
"Q8IWU2_IDR_1377_1415",0.268923118774406
"Q8IWU2_IDR_1426_1459",0.262386069046736
"Q8IWU2_IDR_557_1314",0.228266453170195
"Q8IWU5_IDR_1_40",0.229953680914239
"Q8IWU5_IDR_557_594",0.301832982432259
"Q8IWU5_IDR_648_718",0.215810121354943
"Q8IWU5_IDR_824_860",0.25240321529856
"Q8IWU6_IDR_1_37",0.247713191843739
"Q8IWU6_IDR_510_543",0.266521666445735
"Q8IWU6_IDR_561_610",0.245954388022093
"Q8IWU6_IDR_666_738",0.239810753688433
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.336074971688791
"Q8IWV1_IDR_178_270",0.332582075646446
"Q8IWV1_IDR_295_398",0.331342952664764
"Q8IX03_IDR_790_917",0.222748287682672
"Q8IX03_IDR_945_991",0.24629050004044
"Q8IX07_IDR_1_83",0.323347119057954
"Q8IX07_IDR_194_247",0.345108411048439
"Q8IX07_IDR_266_972",0.331544469893606
"Q8IX12_IDR_212_357",0.19181379218758
"Q8IX12_IDR_599_722",0.200837481923349
"Q8IX12_IDR_793_917",0.194317232776587
"Q8IX12_IDR_9_144",0.212696274638153
"Q8IX12_IDR_981_1021",0.200335218474332
"Q8IX15_IDR_125_364",0.237820167092943
"Q8IX15_IDR_1_38",0.261328944622581
"Q8IX15_IDR_420_461",0.246163864418199
"Q8IX15_IDR_504_550",0.254687023866277
"Q8IX18_IDR_1_50",0.500753818005187
"Q8IX18_IDR_706_779",0.499246181994813
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.502868833465544
"Q8IX29_IDR_239_292",0.497131166534456
"Q8IXP5_IDR_108_216",0.48401448907428
"Q8IXP5_IDR_1_106",0.51598551092572
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.582586276810327
"Q8IXQ8_IDR_211_264",0.417413723189673
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.321500029832389
"Q8IXT5_IDR_485_921",0.325271563495591
"Q8IXT5_IDR_89_151",0.35322840667202
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.336371110224464
"Q8IXW0_IDR_176_344",0.339314447886808
"Q8IXW0_IDR_466_587",0.324314441888728
"Q8IXW5_IDR_1_41",0.511993780569952
"Q8IXW5_IDR_171_324",0.488006219430048
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.579545606819939
"Q8IY63_IDR_493_952",0.420454393180061
"Q8IY67_IDR_1_35",0.41322546083089
"Q8IY67_IDR_349_606",0.58677453916911
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.547781579457003
"Q8IY84_IDR_7_44",0.452218420542997
"Q8IY85_IDR_375_441",0.525458954302081
"Q8IY85_IDR_77_146",0.474541045697919
"Q8IY92_IDR_1_50",0.174318346810072
"Q8IY92_IDR_377_470",0.15763976802816
"Q8IY92_IDR_558_613",0.17137246692176
"Q8IY92_IDR_630_669",0.172527645061286
"Q8IY92_IDR_64_289",0.161570697345441
"Q8IY92_IDR_824_1750",0.162571075833281
"Q8IYE1_IDR_684_715",0.523518550062318
"Q8IYF1_IDR_647_753",0.510514283207359
"Q8IYF1_IDR_79_458",0.489485716792641
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.264228038086491
"Q8IYH5_IDR_573_649",0.302664751969735
"Q8IYH5_IDR_714_786",0.433107209943774
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.514268750689508
"Q8IYI6_IDR_287_328",0.485731249310492
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.245815807884998
"Q8IYJ0_IDR_112_175",0.264075117791916
"Q8IYJ0_IDR_204_238",0.241578643611112
"Q8IYJ0_IDR_240_282",0.248530430711974
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.497396725937775
"Q8IYK4_IDR_584_626",0.502603274062225
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.164357431271707
"Q8IYW2_IDR_1347_1410",0.158798605660215
"Q8IYW2_IDR_1985_2022",0.168638823773356
"Q8IYW2_IDR_2287_2320",0.164821149831181
"Q8IYW2_IDR_2540_2579",0.173406410652947
"Q8IYW2_IDR_2630_2661",0.169977578810594
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.717943487153302
"Q8IZ41_IDR_77_124",0.282056512846698
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.374389610063327
"Q8IZ63_IDR_360_422",0.255667221263684
"Q8IZ63_IDR_87_332",0.369943168672989
"Q8IZ69_IDR_1_56",0.490500370396247
"Q8IZ69_IDR_591_625",0.509499629603753
"Q8IZ73_IDR_31_122",0.498075240154478
"Q8IZ73_IDR_421_495",0.501924759845522
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.333458289241644
"Q8IZA0_IDR_201_244",0.323205651094181
"Q8IZA0_IDR_957_1015",0.343336059664174
"Q8IZA3_IDR_114_346",0.467688887645787
"Q8IZA3_IDR_1_50",0.532311112354213
"Q8IZC4_IDR_185_221",0.332692105660047
"Q8IZC4_IDR_409_445",0.361843601721639
"Q8IZC4_IDR_476_603",0.305464292618314
"Q8IZC6_IDR_1_36",0.520039124904013
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.476488902767002
"Q8IZJ3_IDR_1758_1835",0.523511097232998
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.514199484897432
"Q8IZL8_IDR_637_1130",0.485800515102569
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.569388188758495
"Q8IZN3_IDR_323_488",0.430611811241505
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.471819650596572
"Q8IZP6_IDR_97_147",0.528180349403428
"Q8IZP7_IDR_1_118",0.550794537732904
"Q8IZP7_IDR_426_459",0.449205462267096
"Q8IZP9_IDR_249_371",0.225531951748422
"Q8IZP9_IDR_39_74",0.249426637754473
"Q8IZU9_IDR_701_778",0.552322101234389
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.165623252841353
"Q8IZX4_IDR_1220_1400",0.169475438902912
"Q8IZX4_IDR_1644_1826",0.16645364136032
"Q8IZX4_IDR_268_354",0.170206153063097
"Q8IZX4_IDR_536_578",0.166374772840968
"Q8IZX4_IDR_82_235",0.161866740991351
"Q8IZY2_IDR_1152_1210",0.501022884762157
"Q8IZY2_IDR_2105_2146",0.498977115237843
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.493910595249658
"Q8N0S2_IDR_260_351",0.506089404750342
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.278938012338558
"Q8N0U7_IDR_267_299",0.245373473297196
"Q8N0U7_IDR_37_122",0.238659316641367
"Q8N0U7_IDR_391_467",0.237029197722879
"Q8N103_IDR_1_81",0.437203123564997
"Q8N103_IDR_283_731",0.562796876435003
"Q8N108_IDR_1_176",0.552949905215177
"Q8N108_IDR_344_512",0.447050094784823
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.497180993245154
"Q8N114_IDR_203_240",0.502819006754846
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.536529262997637
"Q8N122_IDR_820_949",0.463470737002363
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.466773877644054
"Q8N128_IDR_68_213",0.533226122355946
"Q8N129_IDR_1_32",0.518531878739845
"Q8N129_IDR_202_248",0.481468121260155
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.393479636397072
"Q8N137_IDR_442_797",0.303930137760989
