"","GO0005911_cell_cell_junction"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.326867896906484
"Q5VUJ6_IDR_1_54",0.427601411495052
"Q5VUJ6_IDR_308_649",0.572398588504948
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.481080546228239
"Q5VV16_IDR_235_409",0.518919453771761
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.483396404351369
"Q5VV42_IDR_499_545",0.516603595648631
"Q5VWN6_IDR_1918_1981",0.190848643337471
"Q5VWN6_IDR_1993_2150",0.169077657059923
"Q5VWN6_IDR_803_1879",0.158051152546659
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.357030667560062
"Q5VWQ0_IDR_63_351",0.321543436867956
"Q5VWQ0_IDR_708_802",0.321425895571982
"Q5VWQ8_IDR_1141_1189",0.323293393635143
"Q5VWQ8_IDR_1_142",0.296998391782361
"Q5VWQ8_IDR_654_1098",0.379708214582496
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.199239069452066
"Q5VZL5_IDR_1_334",0.199969112584205
"Q5VZL5_IDR_640_677",0.199164098604387
"Q5VZL5_IDR_851_997",0.198044135343615
"Q5VZL5_IDR_999_1200",0.203583584015727
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.154757322881997
"Q5VZP5_IDR_45_103",0.185014779838565
"Q5XX13_IDR_168_231",0.512357257843325
"Q5XX13_IDR_693_978",0.487642742156675
"Q5XXA6_IDR_1_48",0.352743279872674
"Q5XXA6_IDR_74_121",0.328285634707001
"Q5XXA6_IDR_945_986",0.318971085420325
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.505671115945109
"Q63HK3_IDR_383_743",0.494328884054891
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.349444651008725
"Q66K14_IDR_944_993",0.332128977407125
"Q66K41_IDR_1_291",0.424709953969137
"Q66K41_IDR_304_345",0.575290046030864
"Q66K64_IDR_1_37",0.503659214610581
"Q66K64_IDR_275_383",0.496340785389419
"Q66K66_IDR_241_349",0.524543818285639
"Q66K66_IDR_32_81",0.475456181714361
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.256586798059817
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.475929042575656
"Q8IU57_IDR_479_520",0.524070957424344
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.504120332334021
"Q8IU81_IDR_56_237",0.495879667665979
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.484709734976989
"Q8IUC6_IDR_634_673",0.515290265023012
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.306508061017652
"Q8IUD2_IDR_621_730",0.232699527789444
"Q8IUD2_IDR_764_839",0.238649739208561
"Q8IUD2_IDR_926_1072",0.222142671984343
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.508594498096101
"Q8IUE0_IDR_1_55",0.491405501903899
"Q8IUE1_IDR_116_241",0.509376954772954
"Q8IUE1_IDR_1_55",0.490623045227046
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.351139495907884
"Q8IUG5_IDR_1_504",0.306977442046949
"Q8IUW5_IDR_126_223",0.236424810400114
"Q8IUW5_IDR_1_54",0.24608229396832
"Q8IUW5_IDR_234_271",0.259630757512365
"Q8IUW5_IDR_91_123",0.257862138119201
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.3596535776472
"Q8IUX7_IDR_1099_1138",0.331215198166313
"Q8IUX7_IDR_44_388",0.309131224186486
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.496677091008086
"Q8IUY3_IDR_182_321",0.503322908991914
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.491023041029173
"Q8IV04_IDR_352_446",0.508976958970827
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.442949212514521
"Q8IV31_IDR_62_184",0.557050787485479
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.296693333443262
"Q8IVE3_IDR_1453_1493",0.23382736400655
"Q8IVE3_IDR_36_69",0.243130431275509
"Q8IVE3_IDR_71_132",0.22634887127468
"Q8IVF1_IDR_14_81",0.207150031213423
"Q8IVF1_IDR_232_366",0.205962763105059
"Q8IVF1_IDR_407_522",0.199035615634899
"Q8IVF1_IDR_525_878",0.191510775617391
"Q8IVF1_IDR_83_205",0.196340814429228
"Q8IVF2_IDR_1_114",0.362300058399559
"Q8IVF2_IDR_1794_5795",0.318498796783179
"Q8IVF2_IDR_195_1792",0.319201144817262
"Q8IVF4_IDR_156_187",0.509518996679182
"Q8IVF4_IDR_1_66",0.490481003320818
"Q8IVF5_IDR_1017_1093",0.23716821467884
"Q8IVF5_IDR_1461_1667",0.217969661823119
"Q8IVF5_IDR_1_498",0.301948978278642
"Q8IVF5_IDR_749_804",0.242913145219399
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.331807709475004
"Q8IVW6_IDR_319_491",0.349034877747417
"Q8IVW6_IDR_516_561",0.319157412777579
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.325661006887475
"Q8IW35_IDR_575_628",0.35506423887479
"Q8IW35_IDR_633_854",0.319274754237735
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.487203873675281
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.483345927674218
"Q8IWE2_IDR_404_437",0.516654072325782
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.504721115716039
"Q8IWF9_IDR_234_348",0.495278884283961
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.115308836694885
"Q8IWI9_IDR_1340_1371",0.115874809646929
"Q8IWI9_IDR_1398_1903",0.106674710289983
"Q8IWI9_IDR_1905_2856",0.104163230733418
"Q8IWI9_IDR_261_649",0.108093323157672
"Q8IWI9_IDR_2974_3016",0.113057947902713
"Q8IWI9_IDR_3020_3065",0.110792540517657
"Q8IWI9_IDR_681_751",0.112933827415131
"Q8IWI9_IDR_753_1079",0.113100773641612
"Q8IWJ2_IDR_1_69",0.340330769613126
"Q8IWT3_IDR_1658_1690",0.235541943814261
"Q8IWT3_IDR_2437_2517",0.298753308275873
"Q8IWT6_IDR_180_231",0.483735325370491
"Q8IWT6_IDR_62_95",0.516264674629509
"Q8IWU2_IDR_1_101",0.243085535743811
"Q8IWU2_IDR_1377_1415",0.26458360929832
"Q8IWU2_IDR_1426_1459",0.259930043668397
"Q8IWU2_IDR_557_1314",0.232400811289472
"Q8IWU5_IDR_1_40",0.235569735540878
"Q8IWU5_IDR_557_594",0.283397932016193
"Q8IWU5_IDR_648_718",0.223128862632891
"Q8IWU5_IDR_824_860",0.257903469810038
"Q8IWU6_IDR_1_37",0.243582366523228
"Q8IWU6_IDR_510_543",0.272561669539715
"Q8IWU6_IDR_561_610",0.242249094342097
"Q8IWU6_IDR_666_738",0.24160686959496
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.329998465410805
"Q8IWV1_IDR_178_270",0.336454186347558
"Q8IWV1_IDR_295_398",0.333547348241637
"Q8IX03_IDR_790_917",0.227573438463857
"Q8IX03_IDR_945_991",0.24592361594969
"Q8IX07_IDR_1_83",0.327222227558116
"Q8IX07_IDR_194_247",0.340940831281719
"Q8IX07_IDR_266_972",0.331836941160165
"Q8IX12_IDR_212_357",0.197796688259699
"Q8IX12_IDR_599_722",0.201014912907483
"Q8IX12_IDR_793_917",0.194743384288324
"Q8IX12_IDR_9_144",0.206820127900203
"Q8IX12_IDR_981_1021",0.199624886644291
"Q8IX15_IDR_125_364",0.23912568779568
"Q8IX15_IDR_1_38",0.259191490068701
"Q8IX15_IDR_420_461",0.245878537149941
"Q8IX15_IDR_504_550",0.255804284985678
"Q8IX18_IDR_1_50",0.499189723458171
"Q8IX18_IDR_706_779",0.500810276541829
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.500457080419363
"Q8IX29_IDR_239_292",0.499542919580637
"Q8IXP5_IDR_108_216",0.479500657828793
"Q8IXP5_IDR_1_106",0.520499342171208
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.566612992598402
"Q8IXQ8_IDR_211_264",0.433387007401598
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.328721700213049
"Q8IXT5_IDR_485_921",0.328307394399712
"Q8IXT5_IDR_89_151",0.342970905387239
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.333506260000046
"Q8IXW0_IDR_176_344",0.338387435125348
"Q8IXW0_IDR_466_587",0.328106304874606
"Q8IXW5_IDR_1_41",0.517201330345594
"Q8IXW5_IDR_171_324",0.482798669654405
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.567061807243519
"Q8IY63_IDR_493_952",0.432938192756481
"Q8IY67_IDR_1_35",0.415661238104146
"Q8IY67_IDR_349_606",0.584338761895854
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.532209587219766
"Q8IY84_IDR_7_44",0.467790412780234
"Q8IY85_IDR_375_441",0.518299058184004
"Q8IY85_IDR_77_146",0.481700941815996
"Q8IY92_IDR_1_50",0.17280517149145
"Q8IY92_IDR_377_470",0.160482206757444
"Q8IY92_IDR_558_613",0.169953325673799
"Q8IY92_IDR_630_669",0.17069666374761
"Q8IY92_IDR_64_289",0.162378137728236
"Q8IY92_IDR_824_1750",0.163684494601461
"Q8IYE1_IDR_684_715",0.523038052278056
"Q8IYF1_IDR_647_753",0.520671328191948
"Q8IYF1_IDR_79_458",0.479328671808052
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.279398382521113
"Q8IYH5_IDR_573_649",0.309388444184658
"Q8IYH5_IDR_714_786",0.411213173294229
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.508935429489587
"Q8IYI6_IDR_287_328",0.491064570510412
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.249581659699042
"Q8IYJ0_IDR_112_175",0.259776111797412
"Q8IYJ0_IDR_204_238",0.242366797198119
"Q8IYJ0_IDR_240_282",0.248275431305427
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.497366235686432
"Q8IYK4_IDR_584_626",0.502633764313568
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.164538992244951
"Q8IYW2_IDR_1347_1410",0.160169130507513
"Q8IYW2_IDR_1985_2022",0.16796652157405
"Q8IYW2_IDR_2287_2320",0.165338718272634
"Q8IYW2_IDR_2540_2579",0.17274250928998
"Q8IYW2_IDR_2630_2661",0.169244128110873
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.708249167515011
"Q8IZ41_IDR_77_124",0.291750832484989
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.368758242202893
"Q8IZ63_IDR_360_422",0.262999986808497
"Q8IZ63_IDR_87_332",0.36824177098861
"Q8IZ69_IDR_1_56",0.493934594838672
"Q8IZ69_IDR_591_625",0.506065405161328
"Q8IZ73_IDR_31_122",0.498053508423481
"Q8IZ73_IDR_421_495",0.501946491576519
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.337168933043908
"Q8IZA0_IDR_201_244",0.324396400929833
"Q8IZA0_IDR_957_1015",0.338434666026259
"Q8IZA3_IDR_114_346",0.476026177474226
"Q8IZA3_IDR_1_50",0.523973822525774
"Q8IZC4_IDR_185_221",0.331522796915526
"Q8IZC4_IDR_409_445",0.356440958115498
"Q8IZC4_IDR_476_603",0.312036244968976
"Q8IZC6_IDR_1_36",0.514498736416992
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.475424010980925
"Q8IZJ3_IDR_1758_1835",0.524575989019076
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.509285221129909
"Q8IZL8_IDR_637_1130",0.490714778870091
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.553260047586461
"Q8IZN3_IDR_323_488",0.446739952413539
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.47454689567936
"Q8IZP6_IDR_97_147",0.52545310432064
"Q8IZP7_IDR_1_118",0.53505204169608
"Q8IZP7_IDR_426_459",0.46494795830392
"Q8IZP9_IDR_249_371",0.228896880278065
"Q8IZP9_IDR_39_74",0.251529920234259
"Q8IZU9_IDR_701_778",0.554532768471214
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.165316373405006
"Q8IZX4_IDR_1220_1400",0.169526289253243
"Q8IZX4_IDR_1644_1826",0.171107204495456
"Q8IZX4_IDR_268_354",0.165964372642997
"Q8IZX4_IDR_536_578",0.164940818570131
"Q8IZX4_IDR_82_235",0.163144941633167
"Q8IZY2_IDR_1152_1210",0.500593749838764
"Q8IZY2_IDR_2105_2146",0.499406250161236
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.49578610692974
"Q8N0S2_IDR_260_351",0.50421389307026
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.275987043240665
"Q8N0U7_IDR_267_299",0.244379569159765
"Q8N0U7_IDR_37_122",0.241035092428905
"Q8N0U7_IDR_391_467",0.238598295170666
"Q8N103_IDR_1_81",0.437517437820211
"Q8N103_IDR_283_731",0.562482562179789
"Q8N108_IDR_1_176",0.55891705829658
"Q8N108_IDR_344_512",0.44108294170342
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.500940363038628
"Q8N114_IDR_203_240",0.499059636961372
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.530131480689155
"Q8N122_IDR_820_949",0.469868519310845
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.43430712691954
"Q8N128_IDR_68_213",0.56569287308046
"Q8N129_IDR_1_32",0.516454255897983
"Q8N129_IDR_202_248",0.483545744102017
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.377650804293683
"Q8N137_IDR_442_797",0.312467657124975
